#numPI[l][m][n]/numK[l][m][n] is filled
0 4 4 0.243382 =392.448/1612.48    AC1<1, 0.8<AC2<8
0 4 5 0.168999 =426.284/2522.41    AC1<1, 0.8<AC2<9
0 4 6 0.12858 =499.083/3881.5    AC1<1, 0.8<AC2<10
0 4 7 0.179585 =604.661/3367    AC1<1, 0.8<AC2<11
0 4 8 0.179874 =658.578/3661.32    AC1<1, 0.8<AC2<12
0 4 9 0.193111 =755.469/3912.1    AC1<1, 0.8<AC2<13
0 4 10 0.203497 =841.608/4135.73    AC1<1, 0.8<AC2<14
0 4 11 0.218255 =942.443/4318.08    AC1<1, 0.8<AC2<15
0 4 12 0.234923 =1050.35/4471.06    AC1<1, 0.8<AC2<16
0 4 13 0.215797 =1165.24/5399.7    AC1<1, 0.8<AC2<17
0 4 14 0.241671 =1267.21/5243.55    AC1<1, 0.8<AC2<18
0 4 15 0.258842 =1359.36/5251.69    AC1<1, 0.8<AC2<19
0 4 16 0.296303 =1463.71/4939.91    AC1<1, 0.8<AC2<20
0 4 17 0.287059 =1555.62/5419.18    AC1<1, 0.8<AC2<21
0 4 18 0.322799 =1639.31/5078.42    AC1<1, 0.8<AC2<22
0 4 19 0.334734 =1724.63/5152.23    AC1<1, 0.8<AC2<23
0 5 0 0.96933 =2.86312/2.95371    AC1<1, 1<AC2<4
0 5 1 0.0570744 =40.0514/701.741    AC1<1, 1<AC2<5
0 5 2 0.0225573 =43.3714/1922.72    AC1<1, 1<AC2<6
0 5 3 0.189909 =279.613/1472.36    AC1<1, 1<AC2<7
0 5 4 0.162735 =342.805/2106.52    AC1<1, 1<AC2<8
0 5 5 0.153753 =403.901/2626.95    AC1<1, 1<AC2<9
0 5 6 0.158137 =488.121/3086.7    AC1<1, 1<AC2<10
0 5 7 0.164872 =570.766/3461.88    AC1<1, 1<AC2<11
0 5 8 0.164779 =617.913/3749.96    AC1<1, 1<AC2<12
0 5 9 0.179756 =718.397/3996.52    AC1<1, 1<AC2<13
