#numPI[l][m][n]/numK[l][m][n] is filled
0 4 2 0.00236358 =43.7399/18505.8    AC1<1, 0.8<AC2<6
0 4 3 0.0158569 =290.608/18326.9    AC1<1, 0.8<AC2<7
0 4 4 0.0198616 =392.448/19759.1    AC1<1, 0.8<AC2<8
0 4 5 0.0204107 =426.284/20885.3    AC1<1, 0.8<AC2<9
0 4 6 0.0226429 =499.083/22041.5    AC1<1, 0.8<AC2<10
0 4 7 0.0273883 =604.661/22077.3    AC1<1, 0.8<AC2<11
0 4 8 0.0292323 =658.578/22529.1    AC1<1, 0.8<AC2<12
0 4 9 0.0329067 =755.469/22957.9    AC1<1, 0.8<AC2<13
0 4 10 0.0360375 =841.608/23353.6    AC1<1, 0.8<AC2<14
0 4 11 0.0397369 =942.443/23717.1    AC1<1, 0.8<AC2<15
0 4 12 0.0436542 =1050.35/24060.8    AC1<1, 0.8<AC2<16
0 4 13 0.0463715 =1165.24/25128.4    AC1<1, 0.8<AC2<17
0 4 14 0.050436 =1267.21/25125.1    AC1<1, 0.8<AC2<18
0 4 15 0.0534975 =1359.36/25409.7    AC1<1, 0.8<AC2<19
0 4 16 0.0579552 =1463.71/25255.9    AC1<1, 0.8<AC2<20
0 4 17 0.0601735 =1555.62/25852.3    AC1<1, 0.8<AC2<21
0 4 18 0.0637305 =1639.31/25722.6    AC1<1, 0.8<AC2<22
0 4 19 0.0664793 =1724.63/25942.3    AC1<1, 0.8<AC2<23
0 5 0 0.000225247 =2.86312/12711    AC1<1, 1<AC2<4
0 5 1 0.00267626 =40.0514/14965.5    AC1<1, 1<AC2<5
0 5 2 0.00259558 =43.3714/16709.7    AC1<1, 1<AC2<6
0 5 3 0.0159363 =279.613/17545.7    AC1<1, 1<AC2<7
0 5 4 0.018652 =342.805/18379    AC1<1, 1<AC2<8
0 5 5 0.0211622 =403.901/19086    AC1<1, 1<AC2<9
0 5 6 0.0247352 =488.121/19733.9    AC1<1, 1<AC2<10
0 5 7 0.0281331 =570.766/20288.1    AC1<1, 1<AC2<11
0 5 8 0.0297908 =617.913/20741.7    AC1<1, 1<AC2<12
0 5 9 0.0339291 =718.397/21173.5    AC1<1, 1<AC2<13
0 5 10 0.0372522 =803.54/21570.3    AC1<1, 1<AC2<14
0 5 11 0.0412352 =904.465/21934.3    AC1<1, 1<AC2<15
0 5 12 0.0443167 =1007.78/22740.5    AC1<1, 1<AC2<16
0 5 13 0.0490834 =1131.78/23058.4    AC1<1, 1<AC2<17
0 5 14 0.0525848 =1226.12/23317    AC1<1, 1<AC2<18
0 5 15 0.0562915 =1325.08/23539.5    AC1<1, 1<AC2<19
0 5 16 0.0607575 =1426.1/23471.9    AC1<1, 1<AC2<20
0 5 17 0.0632347 =1518.71/24017    AC1<1, 1<AC2<21
0 5 18 0.0669301 =1602.14/23937.5    AC1<1, 1<AC2<22
0 5 19 0.0698484 =1687.34/24157.1    AC1<1, 1<AC2<23
0 6 0 0.000187034 =2.26262/12097.4    AC1<1, 1.2<AC2<4
0 6 1 0.00158994 =20.9186/13156.9    AC1<1, 1.2<AC2<5
0 6 2 0.00953834 =139.684/14644.5    AC1<1, 1.2<AC2<6
0 6 3 0.0175262 =274.811/15680    AC1<1, 1.2<AC2<7
0 6 4 0.0197343 =327.606/16600.9    AC1<1, 1.2<AC2<8
0 6 5 0.014278 =245.931/17224.4    AC1<1, 1.2<AC2<9
0 6 6 0.0263362 =473.486/17978.5    AC1<1, 1.2<AC2<10
0 6 7 0.0288022 =533.635/18527.6    AC1<1, 1.2<AC2<11
0 6 8 0.0307932 =584.69/18987.6    AC1<1, 1.2<AC2<12
0 6 9 0.0352703 =684.981/19420.9    AC1<1, 1.2<AC2<13
0 6 10 0.0388558 =770.068/19818.6    AC1<1, 1.2<AC2<14
0 6 11 0.0422803 =870.652/20592.4    AC1<1, 1.2<AC2<15
0 6 12 0.0477192 =979.494/20526.2    AC1<1, 1.2<AC2<16
0 6 13 0.0528835 =1103.76/20871.5    AC1<1, 1.2<AC2<17
0 6 14 0.0558001 =1197.78/21465.6    AC1<1, 1.2<AC2<18
0 6 15 0.0595146 =1293.92/21741.3    AC1<1, 1.2<AC2<19
0 6 16 0.0633911 =1394.04/21991.1    AC1<1, 1.2<AC2<20
0 6 17 0.0677592 =1489.15/21977.1    AC1<1, 1.2<AC2<21
0 6 18 0.0701327 =1570.78/22397.3    AC1<1, 1.2<AC2<22
0 6 19 0.0740684 =1663.24/22455.4    AC1<1, 1.2<AC2<23
0 7 0 0.00109186 =10.4555/9575.78    AC1<1, 1.4<AC2<4
0 7 1 0.00190005 =22.1243/11644.1    AC1<1, 1.4<AC2<5
0 7 2 0.0144861 =177.225/12234.1    AC1<1, 1.4<AC2<6
0 7 3 0.0189424 =266.653/14077    AC1<1, 1.4<AC2<7
0 7 4 0.0205683 =309.56/15050.3    AC1<1, 1.4<AC2<8
0 7 5 0.0233939 =369.304/15786.3    AC1<1, 1.4<AC2<9
0 7 6 0.0276884 =455.448/16449.1    AC1<1, 1.4<AC2<10
0 7 7 0.0305586 =519.749/17008.3    AC1<1, 1.4<AC2<11
0 7 8 0.0327302 =571.869/17472.2    AC1<1, 1.4<AC2<12
0 7 9 0.0374953 =671.362/17905.2    AC1<1, 1.4<AC2<13
0 7 10 0.0413514 =756.904/18304.2    AC1<1, 1.4<AC2<14
0 7 11 0.0451368 =858.667/19023.7    AC1<1, 1.4<AC2<15
0 7 12 0.0499425 =966.162/19345.5    AC1<1, 1.4<AC2<16
0 7 13 0.0554547 =1090.47/19664.2    AC1<1, 1.4<AC2<17
0 7 14 0.0594818 =1185.13/19924.3    AC1<1, 1.4<AC2<18
0 7 15 0.0643684 =1282.42/19923.2    AC1<1, 1.4<AC2<19
0 7 16 0.0684242 =1382.32/20202.2    AC1<1, 1.4<AC2<20
0 7 17 0.0721682 =1476.58/20460.3    AC1<1, 1.4<AC2<21
0 7 18 0.0748243 =1558.58/20829.8    AC1<1, 1.4<AC2<22
0 7 19 0.078212 =1644/21019.8    AC1<1, 1.4<AC2<23
0 8 0 0.000896651 =7.32883/8173.56    AC1<1, 1.6<AC2<4
0 8 1 0.00218405 =22.5381/10319.4    AC1<1, 1.6<AC2<5
0 8 2 0.0139082 =164.272/11811.2    AC1<1, 1.6<AC2<6
0 8 3 0.0202726 =257.715/12712.5    AC1<1, 1.6<AC2<7
0 8 4 0.0125791 =171.477/13631.8    AC1<1, 1.6<AC2<8
0 8 5 0.0243844 =352.604/14460.2    AC1<1, 1.6<AC2<9
0 8 6 0.0290546 =439.525/15127.5    AC1<1, 1.6<AC2<10
0 8 7 0.0322991 =506.968/15696.1    AC1<1, 1.6<AC2<11
0 8 8 0.0346295 =559.706/16162.7    AC1<1, 1.6<AC2<12
0 8 9 0.0396812 =658.469/16594    AC1<1, 1.6<AC2<13
0 8 10 0.0437928 =744.148/16992.5    AC1<1, 1.6<AC2<14
0 8 11 0.0487497 =846.052/17355    AC1<1, 1.6<AC2<15
0 8 12 0.0539112 =954.045/17696.6    AC1<1, 1.6<AC2<16
0 8 13 0.0597761 =1078.38/18040.4    AC1<1, 1.6<AC2<17
0 8 14 0.0640359 =1173.58/18326.8    AC1<1, 1.6<AC2<18
0 8 15 0.0682951 =1270.56/18604    AC1<1, 1.6<AC2<19
0 8 16 0.072577 =1370.38/18881.7    AC1<1, 1.6<AC2<20
0 8 17 0.0765283 =1464.68/19139.1    AC1<1, 1.6<AC2<21
0 8 18 0.0799997 =1547.43/19343    AC1<1, 1.6<AC2<22
0 8 19 0.0830532 =1632.5/19656    AC1<1, 1.6<AC2<23
0 9 0 0.000830605 =6.14675/7400.32    AC1<1, 1.8<AC2<4
0 9 1 0.00238593 =21.7441/9113.46    AC1<1, 1.8<AC2<5
0 9 2 0.0154846 =165.34/10677.7    AC1<1, 1.8<AC2<6
0 9 3 0.019584 =226.806/11581.2    AC1<1, 1.8<AC2<7
0 9 4 0.0184129 =240.652/13069.8    AC1<1, 1.8<AC2<8
0 9 5 0.0250044 =331.271/13248.5    AC1<1, 1.8<AC2<9
0 9 6 0.0301878 =420.19/13919.2    AC1<1, 1.8<AC2<10
0 9 7 0.0338903 =491.172/14493    AC1<1, 1.8<AC2<11
0 9 8 0.0360805 =539.811/14961.3    AC1<1, 1.8<AC2<12
0 9 9 0.041861 =644.41/15394    AC1<1, 1.8<AC2<13
0 9 10 0.0454135 =730.396/16083.2    AC1<1, 1.8<AC2<14
0 9 11 0.0515763 =833.219/16155.1    AC1<1, 1.8<AC2<15
0 9 12 0.0570479 =941.044/16495.7    AC1<1, 1.8<AC2<16
0 9 13 0.0632723 =1065.48/16839.6    AC1<1, 1.8<AC2<17
0 9 14 0.0677909 =1160.97/17125.8    AC1<1, 1.8<AC2<18
0 9 15 0.0722874 =1257.99/17402.6    AC1<1, 1.8<AC2<19
0 9 16 0.0767905 =1357.63/17679.6    AC1<1, 1.8<AC2<20
0 9 17 0.0809387 =1451.73/17936.2    AC1<1, 1.8<AC2<21
0 9 18 0.0846021 =1534.59/18138.9    AC1<1, 1.8<AC2<22
0 9 19 0.088264 =1620.17/18356    AC1<1, 1.8<AC2<23
0 10 0 0.000901278 =5.70992/6335.36    AC1<1, 2<AC2<4
0 10 1 0.00282136 =22.7805/8074.29    AC1<1, 2<AC2<5
0 10 2 0.0178072 =172.584/9691.83    AC1<1, 2<AC2<6
0 10 3 0.0211456 =222.495/10522    AC1<1, 2<AC2<7
0 10 4 0.0229637 =262.754/11442.1    AC1<1, 2<AC2<8
0 10 5 0.0264393 =322.73/12206.4    AC1<1, 2<AC2<9
0 10 6 0.031941 =411.273/12876    AC1<1, 2<AC2<10
0 10 7 0.0359842 =484.103/13453.2    AC1<1, 2<AC2<11
0 10 8 0.0386366 =538.017/13925.1    AC1<1, 2<AC2<12
0 10 9 0.0443108 =636.104/14355.5    AC1<1, 2<AC2<13
0 10 10 0.0481102 =721.782/15002.7    AC1<1, 2<AC2<14
0 10 11 0.0545359 =824.224/15113.4    AC1<1, 2<AC2<15
0 10 12 0.0602889 =931.625/15452.7    AC1<1, 2<AC2<16
0 10 13 0.066855 =1056.02/15795.6    AC1<1, 2<AC2<17
0 10 14 0.0716037 =1151.42/16080.4    AC1<1, 2<AC2<18
0 10 15 0.0763325 =1248.5/16356.1    AC1<1, 2<AC2<19
0 10 16 0.0810498 =1348.11/16633.1    AC1<1, 2<AC2<20
0 10 17 0.0853885 =1442.17/16889.5    AC1<1, 2<AC2<21
0 10 18 0.089218 =1524.76/17090.3    AC1<1, 2<AC2<22
0 10 19 0.0930696 =1610.16/17300.6    AC1<1, 2<AC2<23
0 11 0 0.000815703 =4.40696/5402.65    AC1<1, 2.2<AC2<4
0 11 1 0.00276116 =19.7355/7147.53    AC1<1, 2.2<AC2<5
0 11 2 0.0198595 =169.044/8511.99    AC1<1, 2.2<AC2<6
0 11 3 0.0219732 =210.394/9575.04    AC1<1, 2.2<AC2<7
0 11 4 0.0224159 =241.486/10773    AC1<1, 2.2<AC2<8
0 11 5 0.0275509 =310.627/11274.7    AC1<1, 2.2<AC2<9
0 11 6 0.033474 =399.797/11943.5    AC1<1, 2.2<AC2<10
0 11 7 0.0377883 =467.18/12363.1    AC1<1, 2.2<AC2<11
0 11 8 0.0403844 =524.809/12995.3    AC1<1, 2.2<AC2<12
0 11 9 0.0463403 =622.104/13424.7    AC1<1, 2.2<AC2<13
0 11 10 0.0503586 =706.836/14036    AC1<1, 2.2<AC2<14
0 11 11 0.0569948 =808.239/14180.9    AC1<1, 2.2<AC2<15
0 11 12 0.0630135 =914.887/14518.9    AC1<1, 2.2<AC2<16
0 11 13 0.0699141 =1038.94/14860.3    AC1<1, 2.2<AC2<17
0 11 14 0.0748603 =1133.69/15144.1    AC1<1, 2.2<AC2<18
0 11 15 0.0798183 =1230.7/15418.8    AC1<1, 2.2<AC2<19
0 11 16 0.0847445 =1330.07/15695    AC1<1, 2.2<AC2<20
0 11 17 0.0892801 =1424.02/15950.1    AC1<1, 2.2<AC2<21
0 11 18 0.0937528 =1503.06/16032.2    AC1<1, 2.2<AC2<22
0 11 19 0.0974435 =1591.47/16332.2    AC1<1, 2.2<AC2<23
0 12 0 0.000596116 =2.81107/4715.64    AC1<1, 2.4<AC2<4
0 12 1 0.0120537 =93.0515/7719.74    AC1<1, 2.4<AC2<5
0 12 2 0.0217172 =168.767/7771.1    AC1<1, 2.4<AC2<6
0 12 3 0.0241023 =209.891/8708.36    AC1<1, 2.4<AC2<7
0 12 4 0.0167959 =162.144/9653.77    AC1<1, 2.4<AC2<8
0 12 5 0.0284614 =297.305/10445.9    AC1<1, 2.4<AC2<9
0 12 6 0.0348482 =387.275/11113.2    AC1<1, 2.4<AC2<10
0 12 7 0.0393822 =460.527/11693.8    AC1<1, 2.4<AC2<11
0 12 8 0.0424006 =515.911/12167.5    AC1<1, 2.4<AC2<12
0 12 9 0.0487038 =613.469/12595.9    AC1<1, 2.4<AC2<13
0 12 10 0.053057 =698.823/13171.2    AC1<1, 2.4<AC2<14
0 12 11 0.0599925 =800.842/13349    AC1<1, 2.4<AC2<15
0 12 12 0.0663253 =907.739/13686.2    AC1<1, 2.4<AC2<16
0 12 13 0.0735714 =1031.96/14026.7    AC1<1, 2.4<AC2<17
0 12 14 0.0787664 =1127.14/14309.9    AC1<1, 2.4<AC2<18
0 12 15 0.0839417 =1224.25/14584.5    AC1<1, 2.4<AC2<19
0 12 16 0.0890668 =1323.62/14861    AC1<1, 2.4<AC2<20
0 12 17 0.0938111 =1417.66/15111.9    AC1<1, 2.4<AC2<21
0 12 18 0.0982656 =1500.22/15267    AC1<1, 2.4<AC2<22
0 12 19 0.102554 =1586/15465    AC1<1, 2.4<AC2<23
0 13 0 0.000875727 =3.32578/3797.74    AC1<1, 2.6<AC2<4
0 13 1 0.00349021 =19.45/5572.74    AC1<1, 2.6<AC2<5
0 13 2 0.00952876 =65.4038/6863.83    AC1<1, 2.6<AC2<6
0 13 3 0.0220151 =175.166/7956.65    AC1<1, 2.6<AC2<7
0 13 4 0.0244911 =218.238/8910.92    AC1<1, 2.6<AC2<8
0 13 5 0.0290974 =281.77/9683.67    AC1<1, 2.6<AC2<9
0 13 6 0.0347733 =367.026/10554.8    AC1<1, 2.6<AC2<10
0 13 7 0.0401986 =439.448/10931.9    AC1<1, 2.6<AC2<11
0 13 8 0.043591 =497.261/11407.4    AC1<1, 2.6<AC2<12
0 13 9 0.0502907 =595.179/11834.8    AC1<1, 2.6<AC2<13
0 13 10 0.0556778 =680.82/12227.9    AC1<1, 2.6<AC2<14
0 13 11 0.0622188 =783.062/12585.6    AC1<1, 2.6<AC2<15
0 13 12 0.0688679 =889.847/12921.1    AC1<1, 2.6<AC2<16
0 13 13 0.0764591 =1013.85/13260    AC1<1, 2.6<AC2<17
0 13 14 0.0819187 =1109.33/13541.9    AC1<1, 2.6<AC2<18
0 13 15 0.0873327 =1206.54/13815.5    AC1<1, 2.6<AC2<19
0 13 16 0.09268 =1305.72/14088.5    AC1<1, 2.6<AC2<20
0 13 17 0.0978373 =1399.88/14308.2    AC1<1, 2.6<AC2<21
0 13 18 0.102397 =1483.01/14483    AC1<1, 2.6<AC2<22
0 13 19 0.106633 =1568.51/14709.5    AC1<1, 2.6<AC2<23
0 14 0 0.00100614 =3.11782/3098.78    AC1<1, 2.8<AC2<4
0 14 1 0.0125734 =75.9862/6043.42    AC1<1, 2.8<AC2<5
0 14 2 0.0212109 =131.641/6206.27    AC1<1, 2.8<AC2<6
0 14 3 0.0229163 =166.312/7257.36    AC1<1, 2.8<AC2<7
0 14 4 0.0256879 =211.045/8215.75    AC1<1, 2.8<AC2<8
0 14 5 0.0306547 =275.586/8990    AC1<1, 2.8<AC2<9
0 14 6 0.0379805 =366.775/9656.92    AC1<1, 2.8<AC2<10
0 14 7 0.0411866 =421.674/10238.1    AC1<1, 2.8<AC2<11
0 14 8 0.0447364 =479.339/10714.8    AC1<1, 2.8<AC2<12
0 14 9 0.0502571 =569.266/11327.1    AC1<1, 2.8<AC2<13
