#Acceptance by SIMC
#1.9<pe[GeV/c]<2.3, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0.250635 0.00740117
26 2.88955 0.0192233
27 4.28794 0.021192
28 4.98345 0.0218006
29 5.24436 0.0219812
30 5.32817 0.0220343
31 5.27204 0.021999
32 5.32738 0.0220338
33 5.3258 0.0220328
34 5.27836 0.022003
35 5.28258 0.0220057
36 5.31789 0.0220279
37 5.23909 0.0219778
38 5.24278 0.0219802
39 5.26966 0.0219975
40 5.29866 0.0220159
41 5.25043 0.0219851
42 5.25332 0.021987
43 5.26097 0.0219919
44 5.29207 0.0220117
45 5.3005 0.022017
46 5.33054 0.0220357
47 5.26202 0.0219926
48 5.247 0.0219829
49 5.13525 0.0219086
50 5.14896 0.021918
51 5.179 0.0219382
52 5.16583 0.0219294
53 5.10468 0.0218875
54 5.09625 0.0218817
55 5.10705 0.0218892
56 5.12893 0.0219043
57 5.01929 0.0218269
58 4.98951 0.0218051
59 4.97502 0.0217944
60 4.93021 0.0217608
61 4.89305 0.0217324
62 4.91387 0.0217484
63 4.79053 0.0216513
64 4.85273 0.021701
65 4.77525 0.0216388
66 4.7958 0.0216555
67 4.67536 0.0215553
68 4.70382 0.0215795
69 4.55018 0.0214449
70 4.4943 0.0213935
71 4.42367 0.0213266
72 4.38019 0.0212844
73 4.32563 0.0212302
74 4.21863 0.0211201
75 4.03863 0.0209225
76 3.67967 0.020479
77 2.50029 0.0184252
78 0 0
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=4.79296
