2.65539e-05 2.10368e-05 8.09471e-05 0.00113193 0.00260032|zR-zL|<0
0.0311544 0.0290413 0.039401 0.0719632 0.0714113|zR-zL|<0.001
0.059567 0.0560999 0.0781139 0.15202 0.129918|zR-zL|<0.002
0.0885971 0.0838369 0.119093 0.222978 0.206498|zR-zL|<0.003
0.116074 0.109781 0.15811 0.291687 0.262047|zR-zL|<0.004
0.143106 0.135214 0.195143 0.368432 0.320424|zR-zL|<0.005
0.167144 0.157939 0.227664 0.441711 0.355041|zR-zL|<0.006
0.189084 0.178271 0.25725 0.485616 0.399897|zR-zL|<0.007
0.210134 0.198125 0.285298 0.535095 0.452552|zR-zL|<0.008
0.229273 0.2162 0.309683 0.575505 0.48733|zR-zL|<0.009
0.244674 0.230931 0.332409 0.618093 0.532567|zR-zL|<0.01
0.260215 0.245478 0.355135 0.652786 0.55145|zR-zL|<0.011
0.273286 0.257443 0.373712 0.681946 0.565324|zR-zL|<0.012
0.284811 0.268482 0.390954 0.716739 0.600006|zR-zL|<0.013
0.295505 0.278606 0.404229 0.738897 0.61395|zR-zL|<0.014
0.305151 0.287557 0.413923 0.7533 0.635755|zR-zL|<0.015
0.313602 0.295457 0.425013 0.766543 0.646474|zR-zL|<0.016
0.320678 0.302031 0.434827 0.779758 0.658011|zR-zL|<0.017
0.327118 0.3079 0.442335 0.788517 0.661588|zR-zL|<0.018
0.332568 0.312896 0.44958 0.797205 0.660254|zR-zL|<0.019
0.337095 0.317172 0.456724 0.80476 0.658659|zR-zL|<0.02
0.341954 0.321747 0.462167 0.811141 0.664986|zR-zL|<0.021
0.345798 0.325818 0.468319 0.820833 0.673822|zR-zL|<0.022
0.350047 0.329731 0.471497 0.826111 0.677334|zR-zL|<0.023
0.353359 0.332918 0.475402 0.830266 0.675564|zR-zL|<0.024
0.3564 0.335831 0.479166 0.833292 0.683914|zR-zL|<0.025
0.359746 0.338735 0.483578 0.835245 0.687813|zR-zL|<0.026
0.363005 0.34159 0.487038 0.838159 0.688819|zR-zL|<0.027
0.365388 0.343904 0.490033 0.840055 0.686966|zR-zL|<0.028
0.368176 0.34675 0.492502 0.841993 0.697982|zR-zL|<0.029
0.370785 0.349127 0.495659 0.844016 0.701392|zR-zL|<0.03
0.373401 0.351588 0.498432 0.844836 0.699634|zR-zL|<0.031
0.376043 0.354107 0.500435 0.848878 0.697461|zR-zL|<0.032
0.378479 0.356411 0.503329 0.848539 0.700808|zR-zL|<0.033
0.38077 0.358698 0.505373 0.852627 0.698787|zR-zL|<0.034
0.383272 0.361097 0.507902 0.853306 0.701841|zR-zL|<0.035
