6.72704e-06 1.5658e-05 3.50693e-05 0.000574126 0.000836859|Ave(z)|<0
0.00331643 0.00371094 0.00732071 0.016973 0.0144358|Ave(z)|<0.005
0.00635369 0.00742579 0.0149132 0.0390416 0.0222918|Ave(z)|<0.01
0.0095154 0.0112777 0.0234438 0.0548308 0.0384432|Ave(z)|<0.015
0.0129714 0.0156384 0.0301946 0.0797766 0.0512785|Ave(z)|<0.02
0.0163736 0.0199404 0.0381817 0.102462 0.0607141|Ave(z)|<0.025
0.0196598 0.0237062 0.0448097 0.121122 0.0692187|Ave(z)|<0.03
0.0227963 0.0275345 0.0530686 0.139839 0.0761751|Ave(z)|<0.035
0.026032 0.0315234 0.0604419 0.168266 0.0805477|Ave(z)|<0.04
0.0293383 0.0356571 0.0680607 0.190364 0.08991|Ave(z)|<0.045
0.0326329 0.0396851 0.0757408 0.207351 0.103582|Ave(z)|<0.05
0.0357694 0.0434156 0.0823952 0.221438 0.114754|Ave(z)|<0.055
0.0390959 0.047471 0.0896283 0.239437 0.1226|Ave(z)|<0.06
0.042303 0.0510919 0.0972471 0.253487 0.132862|Ave(z)|<0.065
0.0455471 0.054658 0.104726 0.265888 0.152298|Ave(z)|<0.07
0.0487811 0.0583377 0.112669 0.280525 0.16418|Ave(z)|<0.075
0.0518621 0.0618177 0.119604 0.294545 0.176206|Ave(z)|<0.08
0.0548136 0.065419 0.125758 0.313844 0.184817|Ave(z)|<0.085
0.0576642 0.0688677 0.133342 0.328533 0.193257|Ave(z)|<0.09
0.0606628 0.0721519 0.139725 0.347207 0.198205|Ave(z)|<0.095
0.0634999 0.0755145 0.145459 0.36349 0.208361|Ave(z)|<0.1
0.0663555 0.0788692 0.150421 0.375115 0.214145|Ave(z)|<0.105
0.0701176 0.0829637 0.156742 0.385852 0.217601|Ave(z)|<0.11
0.0786458 0.0906792 0.167087 0.401933 0.223942|Ave(z)|<0.115
0.116586 0.121752 0.199334 0.42847 0.263778|Ave(z)|<0.12
0.231679 0.210474 0.293302 0.480711 0.353193|Ave(z)|<0.125
0.340538 0.291622 0.373023 0.518434 0.436362|Ave(z)|<0.13
0.373828 0.317403 0.396484 0.529546 0.453755|Ave(z)|<0.135
0.380328 0.322538 0.400482 0.531993 0.462216|Ave(z)|<0.14
0.382148 0.324026 0.401008 0.53226 0.462186|Ave(z)|<0.145
0.383001 0.324691 0.401236 0.532102 0.463566|Ave(z)|<0.15
0.383551 0.325302 0.401333 0.532045 0.463428|Ave(z)|<0.155
0.383778 0.325517 0.401455 0.532024 0.463313|Ave(z)|<0.16
0.384006 0.325752 0.401464 0.532009 0.463271|Ave(z)|<0.165
0.384153 0.325889 0.40149 0.532548 0.46325|Ave(z)|<0.17
0.384252 0.326018 0.401473 0.532519 0.463198|Ave(z)|<0.175
0.384291 0.326011 0.401438 0.532483 0.463167|Ave(z)|<0.18
0.384385 0.326073 0.401508 0.532483 0.463166|Ave(z)|<0.185
0.384425 0.326085 0.401604 0.532469 0.463166|Ave(z)|<0.19
0.384457 0.326124 0.401604 0.532448 0.463166|Ave(z)|<0.195
0.384484 0.326155 0.401596 0.53244 0.463135|Ave(z)|<0.2
0.384565 0.326187 0.401596 0.532411 0.463135|Ave(z)|<0.205
0.384605 0.326257 0.401622 0.532957 0.463124|Ave(z)|<0.21
0.384639 0.326316 0.401622 0.53295 0.463104|Ave(z)|<0.215
0.384686 0.326324 0.401613 0.532943 0.463062|Ave(z)|<0.22
0.384713 0.326355 0.401604 0.532929 0.463041|Ave(z)|<0.225
0.384733 0.326351 0.401604 0.532921 0.463041|Ave(z)|<0.23
0.384751 0.326367 0.401596 0.532921 0.46303|Ave(z)|<0.235
0.384785 0.326429 0.401622 0.532921 0.46303|Ave(z)|<0.24
0.384792 0.326429 0.401622 0.532921 0.46303|Ave(z)|<0.245
0.38479 0.326426 0.401648 0.532907 0.463031|Ave(z)|<0.25
0.384804 0.326437 0.401648 0.532907 0.463031|Ave(z)|<0.255
0.384817 0.326453 0.401648 0.532907 0.463031|Ave(z)|<0.26
0.384822 0.326469 0.401648 0.5329 0.46302|Ave(z)|<0.265
0.384836 0.326484 0.401648 0.5329 0.462999|Ave(z)|<0.27
0.384849 0.3265 0.401648 0.5329 0.462999|Ave(z)|<0.275
0.384862 0.3265 0.401648 0.5329 0.462999|Ave(z)|<0.28
0.384869 0.326516 0.401683 0.5329 0.462999|Ave(z)|<0.285
0.384869 0.326516 0.401683 0.532878 0.462999|Ave(z)|<0.29
0.384874 0.326527 0.401683 0.532878 0.462989|Ave(z)|<0.295
0.384888 0.326543 0.401718 0.532878 0.462989|Ave(z)|<0.3
0.384888 0.326543 0.401718 0.532878 0.462978|Ave(z)|<0.305
0.384888 0.326559 0.401718 0.532878 0.462978|Ave(z)|<0.31
0.384894 0.326574 0.401718 0.532878 0.462978|Ave(z)|<0.315
0.384906 0.326574 0.401718 0.532878 0.462978|Ave(z)|<0.32
0.384913 0.326574 0.401718 0.532878 0.462978|Ave(z)|<0.325
0.38492 0.326566 0.401718 0.532878 0.462978|Ave(z)|<0.33
0.38492 0.326582 0.401718 0.532878 0.462978|Ave(z)|<0.335
0.38492 0.326598 0.401718 0.532878 0.462978|Ave(z)|<0.34
0.38494 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.345
0.38494 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.35
0.38494 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.355
0.38494 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.36
0.38494 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.365
0.38494 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.37
0.384947 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.375
0.384947 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.38
0.384953 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.385
0.384953 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.39
0.384953 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.395
0.384953 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.4
0.384953 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.405
0.384953 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.41
0.384953 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.415
0.384953 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.42
0.384953 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.425
0.384953 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.43
0.384953 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.435
0.384953 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.44
0.384953 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.445
0.384953 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.45
0.384953 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.455
0.384953 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.46
0.384953 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.465
0.384953 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.47
0.384953 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.475
0.384953 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.48
0.384953 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.485
0.384953 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.49
0.384953 0.326613 0.40171 0.532878 0.462978|Ave(z)|<0.495
