0.013604 0.00868558 0.00103827 0.00709519 0.0059774 AC1<0, 12<AC2<40
0.0134264 0.00885102 0.00103827 0.00710071 0.00608046 AC1<0, 12.2<AC2<40
0.0133178 0.00901646 0.000985365 0.00709517 0.00608046 AC1<0, 12.4<AC2<40
0.0132586 0.00901646 0.000958912 0.00710897 0.00608046 AC1<0, 12.6<AC2<40
0.0131229 0.00868558 0.000958912 0.00601863 0.00618352 AC1<0, 12.8<AC2<40
0.0130143 0.00802382 0.00093246 0.00491441 0.00625222 AC1<0, 13<AC2<40
0.0128663 0.00802382 0.000939073 0.00491438 0.00632093 AC1<0, 13.2<AC2<40
0.0127084 0.00769294 0.000939073 0.0049282 0.0035727 AC1<0, 13.4<AC2<40
0.0125925 0.00744478 0.000945686 0.00383748 0.0035727 AC1<0, 13.6<AC2<40
0.0123976 0.0075275 0.000866328 0.00383831 0.0035727 AC1<0, 13.8<AC2<40
0.0122594 0.0075275 0.000866328 0.00383444 0.0035727 AC1<0, 14<AC2<40
0.0121212 0.0075275 0.000866328 0.00383775 0.00360705 AC1<0, 14.2<AC2<40
0.0119633 0.0075275 0.000839875 0.00383046 0.00360705 AC1<0, 14.4<AC2<40
0.0118375 0.00653487 0.000839875 0.00274737 0.000858822 AC1<0, 14.6<AC2<40
0.0116895 0.00620399 0.000839875 0.00164284 0.000927528 AC1<0, 14.8<AC2<40
0.0115809 0.00595583 0.000820035 0.00165696 0.000961881 AC1<0, 15<AC2<40
0.0114526 0.00595583 0.000793583 0.00165694 0.000996233 AC1<0, 15.2<AC2<40
0.0113342 0.00595583 0.000780356 0.00165694 0.00103059 AC1<0, 15.4<AC2<40
0.0111566 0.00562495 0.000780356 0.000580347 0.00103059 AC1<0, 15.6<AC2<40
0.0109691 0.00496319 0.000740677 0.000580337 0.00109929 AC1<0, 15.8<AC2<40
0.010821 0.00496319 0.00074729 0.000594126 0.00109929 AC1<0, 16<AC2<40
0.0106533 0.00496319 0.00074729 0.000594106 0.00113364 AC1<0, 16.2<AC2<40
0.0104682 0.00397055 0.00074729 0.000594105 0.00120235 AC1<0, 16.4<AC2<40
0.0103301 0.00363967 0.000694385 0.000607899 0.00120235 AC1<0, 16.6<AC2<40
0.0101771 0.00330879 0.000641479 0.000607912 0.0012367 AC1<0, 16.8<AC2<40
0.0100291 0.00297791 0.000641479 0.000607912 0.0012367 AC1<0, 17<AC2<40
