0.00570746 0.00661704 0.00100604 0.0132355 -0.000789422 AC1<0, 11.8<AC2<20
0.00563161 0.00496278 0.00100604 0.00878699 -0.000789422 AC1<0, 12<AC2<20
0.00540407 0.00496278 0.00100604 0.00878711 -0.000789422 AC1<0, 12.2<AC2<20
0.00521446 0.00496278 0.00100604 0.00878711 -0.000789422 AC1<0, 12.4<AC2<20
0.00510069 0.00496278 0.000894254 0.00878711 -0.000789422 AC1<0, 12.6<AC2<20
0.00502484 0.00496278 0.000894254 0.00763948 -0.000592066 AC1<0, 12.8<AC2<20
0.00487315 0.00496278 0.000950145 0.00878678 -0.000394711 AC1<0, 13<AC2<20
0.00483522 0.00496278 0.000838364 0.00878662 -0.000394711 AC1<0, 13.2<AC2<20
0.00472145 0.00496278 0.000838364 0.00878662 -0.000394711 AC1<0, 13.4<AC2<20
0.00468353 0.00496278 0.000838364 0.00878729 -0.000394711 AC1<0, 13.6<AC2<20
0.00445599 0.00496278 0.0006148 0.00878729 -0.000394711 AC1<0, 13.8<AC2<20
0.0043043 0.00496278 0.0006148 0.00878704 -0.000394711 AC1<0, 14<AC2<20
0.0041526 0.00496278 0.0006148 0.00878704 -0.000394711 AC1<0, 14.2<AC2<20
0.00407676 0.00496278 0.000503018 0.00878704 -0.000394711 AC1<0, 14.4<AC2<20
0.00400091 0.00330852 0.000503018 0.0087865 -0.000394711 AC1<0, 14.6<AC2<20
0.00392506 0.00413565 0.000503018 0.00880491 -0.000394711 AC1<0, 14.8<AC2<20
0.00377337 0.00413565 0.000503018 0.00880491 -0.000394711 AC1<0, 15<AC2<20
0.00369752 0.00413565 0.000503018 0.00878712 -0.000197355 AC1<0, 15.2<AC2<20
0.00362168 0.00413565 0.000503018 0.00878714 -0.000197355 AC1<0, 15.4<AC2<20
0.00331829 0.00413565 0.000503018 0.00878714 -0.000197355 AC1<0, 15.6<AC2<20
0.00320452 0.00248139 0.000447127 -0.00247157 -0.000197355 AC1<0, 15.8<AC2<20
0.0030149 0.00248139 0.000503018 0.00880303 -0.000197355 AC1<0, 16<AC2<20
0.00290113 0.00248139 0.000503018 0.00880303 -0.000197355 AC1<0, 16.2<AC2<20
0.00271152 0.00248139 0.000503018 0.00880303 -0.000197355 AC1<0, 16.4<AC2<20
0.00248398 0.00248139 0.000503018 -0.329658 -0.00189309 AC1<0, 16.6<AC2<20
0.00233228 0.00248139 0.000279455 -0.0416966 -0.440384 AC1<0, 16.8<AC2<20
0.00210474 0.00248139 0.000167673 -0.0416966 -0.440384 AC1<0, 17<AC2<20
0.00183928 0.00248139 5.58909e-05 0.00382854 -0.000197355 AC1<0, 17.2<AC2<20
0.00174447 0.00248139 5.58909e-05 0.00878671 -0.000197355 AC1<0, 17.4<AC2<20
0.00159278 0.00248139 5.58909e-05 0.00878671 -0.000197355 AC1<0, 17.6<AC2<20
0.00155486 0 5.58909e-05 -0.000110148 -0.000197355 AC1<0, 17.8<AC2<20
0.00147901 0 5.58909e-05 -0.362114 -0.000197355 AC1<0, 18<AC2<20
0.00128939 0 5.58909e-05 -0.362114 -0.000197355 AC1<0, 18.2<AC2<20
0.00117562 0 5.58909e-05 -0.362114 -0.000197355 AC1<0, 18.4<AC2<20
0.00102393 0 5.58909e-05 -0.362114 -0.000197355 AC1<0, 18.6<AC2<20
0.000834313 0 5.58909e-05 -0.000109922 -0.000197355 AC1<0, 18.8<AC2<20
0.000720543 0 0.000111782 -0.00264595 -0.000197355 AC1<0, 19<AC2<20
0.000606773 0 0.000111782 -0.000408693 -0.000197355 AC1<0, 19.2<AC2<20
0.000493003 0 0.000111782 1.54752e-06 -0.000197355 AC1<0, 19.4<AC2<20
0.000265463 0 0.000111782 0.000860154 -0.000197355 AC1<0, 19.6<AC2<20
0.000151693 0 0 0 0 AC1<0, 19.8<AC2<20
0.0241003 0.513648 0.509054 0.660504 0.529702 AC1<0.25, 0<AC2<20
0.0241192 0.511993 0.503912 0.660504 0.530097 AC1<0.25, 0.2<AC2<20
0.0240623 0.509512 0.485804 0.661279 0.525755 AC1<0.25, 0.4<AC2<20
0.0241192 0.510339 0.453946 0.661835 0.523387 AC1<0.25, 0.6<AC2<20
