0.00568135 0.0047463 0.000631331 0.0062375 0.00446819 AC1<0, 12<AC2<20
0.00555033 0.00519833 0.000631331 0.0062537 0.00452857 AC1<0, 12.2<AC2<20
0.00545963 0.00542434 0.000581676 0.0062537 0.00464933 AC1<0, 12.4<AC2<20
0.00535886 0.00519833 0.000553301 0.00560569 0.00464933 AC1<0, 12.6<AC2<20
0.00528075 0.00497231 0.000524927 0.00495767 0.00477009 AC1<0, 12.8<AC2<20
0.0051699 0.00452028 0.000517833 0.00400768 0.00489085 AC1<0, 13<AC2<20
0.00505904 0.00452028 0.000496553 0.00430964 0.00495123 AC1<0, 13.2<AC2<20
0.00492047 0.00406826 0.000503646 0.00434203 0.00265676 AC1<0, 13.4<AC2<20
0.00478946 0.00395525 0.000496553 0.00369397 0.00265676 AC1<0, 13.6<AC2<20
0.00464333 0.00406826 0.000453991 0.00369402 0.00265676 AC1<0, 13.8<AC2<20
0.00451988 0.00406826 0.000461084 0.00369401 0.00265676 AC1<0, 14<AC2<20
0.00437375 0.00361623 0.000461084 0.00224595 0.00277752 AC1<0, 14.2<AC2<20
0.0042377 0.00361623 0.000446897 0.00304597 0.0028379 AC1<0, 14.4<AC2<20
0.00410669 0.00293819 0.000446897 0.00241414 0.000422666 AC1<0, 14.6<AC2<20
0.0039656 0.00282518 0.000453991 0.00137023 0.000422666 AC1<0, 14.8<AC2<20
0.00383459 0.00282518 0.000446897 0.0017661 0.000422666 AC1<0, 15<AC2<20
0.00372374 0.00293819 0.000439804 0.0017661 0.000543428 AC1<0, 15.2<AC2<20
0.00361288 0.00293819 0.00043271 0.00176613 0.000603809 AC1<0, 15.4<AC2<20
0.00343652 0.00271217 0.00043271 0.00115048 0.000603809 AC1<0, 15.6<AC2<20
0.00328284 0.00203413 0.000361774 0.00115048 0.000784952 AC1<0, 15.8<AC2<20
0.00314679 0.00203413 0.000368868 0.00115047 0.000784952 AC1<0, 16<AC2<20
0.00298554 0.00203413 0.000368868 0.00115045 0.000784952 AC1<0, 16.2<AC2<20
0.00280414 0.00146909 0.000361774 0.00115045 0.000966094 AC1<0, 16.4<AC2<20
0.00262778 0.00146909 0.0003334 0.00115045 0.000966094 AC1<0, 16.6<AC2<20
0.00250937 0.00146909 0.000290838 0.00116666 0.000966094 AC1<0, 16.8<AC2<20
0.00235316 0.00124308 0.00025537 0.00118285 0.000966094 AC1<0, 17<AC2<20
0.00216168 0.00124308 0.000184434 0.00118285 0.00102648 AC1<0, 17.2<AC2<20
0.00203067 0.00124308 0.000170247 0.00020282 0.00120762 AC1<0, 17.4<AC2<20
