#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0 0
36 0.52231 0.00953593
37 4.22552 0.0197147
38 5.52602 0.0206694
39 5.57352 0.0206937
40 5.54162 0.0206775
41 5.54392 0.0206787
42 5.53818 0.0206757
43 5.47186 0.0206409
44 5.49986 0.0206558
45 5.52785 0.0206704
46 5.51615 0.0206643
47 5.48058 0.0206456
48 5.41013 0.0206074
49 5.45488 0.0206318
50 5.41334 0.0206092
51 5.35597 0.020577
52 5.4457 0.0206268
53 5.39131 0.0205969
54 5.36584 0.0205826
55 5.33486 0.0205649
56 5.26578 0.0205244
57 5.40577 0.020605
58 5.30548 0.0205479
59 5.34013 0.020568
60 5.25614 0.0205187
61 5.33509 0.0205651
62 5.29561 0.0205421
63 5.20956 0.0204904
64 5.25936 0.0205206
65 5.23342 0.020505
66 5.14507 0.0204501
67 5.19808 0.0204833
68 5.1951 0.0204815
69 5.14186 0.020448
70 4.95139 0.0203208
71 4.92408 0.0203016
72 4.85385 0.0202509
73 4.75609 0.0201774
74 4.5966 0.02005
75 4.40521 0.0198841
76 3.76127 0.0192096
77 3.0758 0.0182514
78 2.3481 0.0168643
79 0.76304 0.0111696
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
Acceptance (average)=4.89003
