#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0.000917943 0.00045649
36 1.05495 0.012707
37 3.97125 0.0194508
38 5.60519 0.0207095
39 5.81012 0.0208052
40 5.84845 0.0208218
41 5.73852 0.0207731
42 5.81173 0.0208059
43 5.78373 0.0207935
44 5.80209 0.0208017
45 5.72567 0.0207672
46 5.70226 0.0207563
47 5.70846 0.0207592
48 5.65384 0.0207333
49 5.62011 0.0207169
50 5.63273 0.0207231
51 5.62952 0.0207215
52 5.70295 0.0207566
53 5.60657 0.0207102
54 5.58201 0.020698
55 5.61644 0.0207151
56 5.60634 0.0207101
57 5.5648 0.0206893
58 5.52281 0.0206678
59 5.48081 0.0206457
60 5.46956 0.0206397
61 5.43652 0.0206219
62 5.40347 0.0206037
63 5.34771 0.0205723
64 5.32751 0.0205607
65 5.28506 0.0205359
66 5.2286 0.020502
67 5.14094 0.0204474
68 5.04616 0.0203856
69 4.92981 0.0203056
70 4.84077 0.0202412
71 4.74485 0.0201687
72 4.6581 0.0201002
73 4.53074 0.0199945
74 4.44537 0.0199201
75 4.153 0.0196425
76 3.48061 0.0188511
77 2.90483 0.0179647
78 2.34167 0.0168499
79 0.778416 0.0112607
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
Acceptance (average)=4.8728
