#Acceptance by SIMC
#1.9<pe[GeV/c]<2.3, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0.000263549 0.000262785
28 0.555825 0.0104926
29 3.41533 0.0201056
30 4.98161 0.0217993
31 5.26677 0.0219956
32 5.24805 0.0219836
33 5.31526 0.0220263
34 5.40249 0.0220794
35 5.46206 0.0221142
36 5.41304 0.0220856
37 5.4415 0.0221023
38 5.43728 0.0220999
39 5.37113 0.0220606
40 5.47945 0.0221242
41 5.44598 0.0221049
42 5.44703 0.0221055
43 5.37746 0.0220644
44 5.35505 0.0220508
45 5.40961 0.0220836
46 5.39248 0.0220734
47 5.41224 0.0220851
48 5.4104 0.0220841
49 5.39828 0.0220769
50 5.37271 0.0220615
51 5.30445 0.0220195
52 5.42252 0.0220912
53 5.32975 0.0220352
54 5.33529 0.0220387
55 5.30709 0.0220211
56 5.37482 0.0220628
57 5.3432 0.0220435
58 5.3424 0.022043
59 5.33344 0.0220375
60 5.30182 0.0220178
61 5.30656 0.0220208
62 5.25016 0.021985
63 5.2636 0.0219936
64 5.28258 0.0220057
65 5.17189 0.0219335
66 5.17584 0.0219361
67 5.18085 0.0219395
68 5.0467 0.0218466
69 5.07411 0.0218661
70 4.90966 0.0217451
71 4.83797 0.0216893
72 4.7879 0.0216491
73 4.64927 0.0215328
74 4.13113 0.021026
75 3.63777 0.0204226
76 2.89799 0.0192391
77 1.63506 0.0160208
78 0 0
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
