#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0 0
36 0.776809 0.0112513
37 4.10665 0.019595
38 5.63479 0.0207241
39 5.76904 0.0207869
40 5.60358 0.0207087
41 5.66027 0.0207364
42 5.60037 0.0207072
43 5.64168 0.0207274
44 5.63892 0.0207261
45 5.60932 0.0207116
46 5.62332 0.0207185
47 5.57237 0.0206931
48 5.55424 0.0206839
49 5.53405 0.0206736
50 5.54162 0.0206775
51 5.50995 0.0206611
52 5.51179 0.020662
53 5.51248 0.0206624
54 5.47209 0.020641
55 5.5134 0.0206629
56 5.52097 0.0206668
57 5.48861 0.0206498
58 5.45212 0.0206303
59 5.37639 0.0205886
60 5.44019 0.0206239
61 5.43308 0.02062
62 5.40737 0.0206059
63 5.38879 0.0205955
64 5.34702 0.0205719
65 5.47576 0.020643
66 5.28093 0.0205334
67 5.27542 0.0205302
68 5.28414 0.0205353
69 5.22769 0.0205015
70 5.14347 0.0204491
71 4.98099 0.0203414
72 4.96401 0.0203296
73 4.8036 0.0202135
74 4.72419 0.0201527
75 4.45914 0.0199323
76 3.80556 0.0192623
77 3.07855 0.0182558
78 2.44356 0.0170734
79 0.769695 0.0112092
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
Acceptance (average)=4.99905
