#Acceptance by SIMC
#1.9<pe[GeV/c]<2.3, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0.0210839 0.00229616
28 1.41289 0.0152028
29 3.49176 0.0202179
30 4.88752 0.0217281
31 5.48261 0.022126
32 5.61333 0.0221977
33 5.65049 0.0222171
34 5.66104 0.0222226
35 5.66367 0.0222239
36 5.71638 0.0222505
37 5.69319 0.0222389
38 5.70505 0.0222449
39 5.70373 0.0222442
40 5.76197 0.0222729
41 5.59383 0.0221873
42 5.61755 0.0221999
43 5.56247 0.0221704
44 5.55851 0.0221683
45 5.47681 0.0221227
46 5.49184 0.0221312
47 5.36454 0.0220566
48 5.44308 0.0221032
49 5.3735 0.022062
50 5.32844 0.0220344
51 5.31895 0.0220285
52 5.20852 0.0219578
53 5.33476 0.0220383
54 5.21168 0.0219599
55 5.21801 0.0219641
56 5.07806 0.0218689
57 5.02114 0.0218282
58 5.00058 0.0218132
59 4.91545 0.0217496
60 4.96184 0.0217846
61 4.8298 0.0216828
62 4.75284 0.0216204
63 4.74942 0.0216176
64 4.65322 0.0215362
65 4.53673 0.0214326
66 4.49773 0.0213967
67 4.47322 0.0213738
68 4.40417 0.0213078
69 4.33407 0.0212387
70 4.24209 0.0211447
71 4.08976 0.0209802
72 4.1032 0.0209952
73 3.79353 0.0206272
74 3.41797 0.0201095
75 3.03055 0.01948
76 2.5111 0.0184493
77 1.46876 0.0154187
78 0 0
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
