#Acceptance by SIMC
#1.9<pe[GeV/c]<2.3, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0.471753 0.00978339
29 3.51127 0.020246
30 4.95156 0.0217769
31 5.1508 0.0219192
32 5.30103 0.0220173
33 5.27968 0.0220039
34 5.31526 0.0220263
35 5.33661 0.0220395
36 5.37377 0.0220621
37 5.3482 0.0220466
38 5.34715 0.022046
39 5.33239 0.0220369
40 5.32027 0.0220294
41 5.32844 0.0220344
42 5.38273 0.0220675
43 5.36428 0.0220564
44 5.31315 0.0220249
45 5.35585 0.0220513
46 5.29734 0.022015
47 5.38958 0.0220717
48 5.28363 0.0220064
49 5.32053 0.0220295
50 5.27125 0.0219985
51 5.25807 0.0219901
52 5.22117 0.0219661
53 5.29734 0.022015
54 5.25622 0.0219889
55 5.26387 0.0219938
56 5.16952 0.0219319
57 5.24832 0.0219838
58 5.2051 0.0219556
59 5.2333 0.0219741
60 5.23382 0.0219744
61 5.20167 0.0219533
62 5.17769 0.0219373
63 5.18085 0.0219395
64 5.14738 0.0219169
65 5.05909 0.0218555
66 5.06093 0.0218568
67 5.04776 0.0218474
68 4.97133 0.0217917
69 4.85879 0.0217057
70 4.79159 0.0216521
71 4.73229 0.0216034
72 4.64822 0.0215319
73 4.56941 0.0214622
74 4.06814 0.020956
75 3.49519 0.0202229
76 2.80284 0.0190573
77 1.54413 0.0156989
78 0 0
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
