#Acceptance by SIMC
#1.9<pe[GeV/c]<2.3, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0.348412 0.00857291
29 3.68389 0.0204846
30 4.91229 0.0217472
31 5.01429 0.0218232
32 5.13446 0.0219081
33 5.15713 0.0219235
34 5.13631 0.0219093
35 5.16082 0.021926
36 5.21274 0.0219606
37 5.13209 0.0219065
38 5.15608 0.0219228
39 5.18427 0.0219417
40 5.21327 0.021961
41 5.18111 0.0219396
42 5.19165 0.0219467
43 5.20905 0.0219582
44 5.23804 0.0219771
45 5.24805 0.0219836
46 5.28416 0.0220067
47 5.21327 0.021961
48 5.19956 0.0219519
49 5.08913 0.0218767
50 5.10653 0.0218888
51 5.14316 0.021914
52 5.12629 0.0219025
53 5.06805 0.0218618
54 5.06278 0.0218581
55 5.07701 0.0218682
56 5.09783 0.0218828
57 4.99004 0.0218055
58 4.95973 0.021783
59 4.94972 0.0217755
60 4.90465 0.0217413
61 4.86854 0.0217134
62 4.88884 0.0217291
63 4.76312 0.0216289
64 4.8269 0.0216805
65 4.74942 0.0216176
66 4.76866 0.0216334
67 4.65586 0.0215385
68 4.68248 0.0215613
69 4.52329 0.0214203
70 4.47375 0.0213742
71 4.40153 0.0213052
72 4.35937 0.0212639
73 4.27819 0.021182
74 3.85493 0.0207042
75 3.26037 0.019866
76 2.55853 0.0185537
77 1.35464 0.0149696
78 0 0
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
