#Acceptance by SIMC
#1.9<pe[GeV/c]<2.3, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0.406129 0.00916898
29 3.56766 0.0203259
30 4.99584 0.0218098
31 5.12445 0.0219012
32 5.21775 0.0219639
33 5.19192 0.0219468
34 5.29101 0.022011
35 5.27573 0.0220014
36 5.27863 0.0220032
37 5.25095 0.0219855
38 5.27151 0.0219987
39 5.31579 0.0220266
40 5.29049 0.0220107
41 5.26123 0.0219921
42 5.33318 0.0220374
43 5.22486 0.0219686
44 5.19403 0.0219482
45 5.27125 0.0219985
46 5.33977 0.0220414
47 5.24041 0.0219787
48 5.18322 0.021941
49 5.2665 0.0219955
50 5.14422 0.0219147
51 5.2325 0.0219735
52 5.23145 0.0219729
53 5.21564 0.0219625
54 5.1906 0.021946
55 5.17821 0.0219377
56 5.20167 0.0219533
57 5.14237 0.0219135
58 5.14553 0.0219156
59 5.13921 0.0219113
60 5.02615 0.0218318
61 5.072 0.0218646
62 5.02535 0.0218313
63 5.0438 0.0218446
64 5.01191 0.0218215
65 4.97713 0.021796
66 4.86696 0.0217121
67 4.86723 0.0217123
68 4.81478 0.0216708
69 4.77314 0.0216371
70 4.68933 0.0215672
71 4.63504 0.0215204
72 4.53594 0.0214319
73 4.33776 0.0212424
74 3.95403 0.0208241
75 3.34101 0.0199927
76 2.66132 0.0187723
77 1.44082 0.0153117
78 0 0
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
