0.000777428 0.00661704 0.00162084 0.00446012 0 AC1<0, 5.8<AC2<10
0.000739505 0.00661704 0.00162084 0.00446012 0 AC1<0, 5.9<AC2<10
0.000739505 0.00661704 0.00139727 0.00445996 0 AC1<0, 6<AC2<10
0.000739505 0.00496278 0.00139727 0.00445975 0 AC1<0, 6.1<AC2<10
0.000739505 0.00330852 0.00128549 0.00446014 0 AC1<0, 6.2<AC2<10
0.000739505 0.00330852 0.00128549 0.00446014 0 AC1<0, 6.3<AC2<10
0.000739505 0.00330852 0.00128549 0.00446014 0 AC1<0, 6.4<AC2<10
0.000701581 0.00330852 0.00117371 0.00446014 0 AC1<0, 6.5<AC2<10
0.000663658 0.00330852 0.00117371 0.00446014 0 AC1<0, 6.6<AC2<10
0.000663658 0.00330852 0.00117371 0.00445964 0 AC1<0, 6.7<AC2<10
0.000625735 0.00330852 0.00106193 0.00445964 0 AC1<0, 6.8<AC2<10
0.000587811 0.00330852 0.000950145 0.00445964 0 AC1<0, 6.9<AC2<10
0.000587811 0.00330852 0.000950145 0.00445964 0 AC1<0, 7<AC2<10
0.000549888 0.00330852 0.000838364 0.00445964 0 AC1<0, 7.1<AC2<10
0.000549888 0.00165426 0.000838364 0.00446015 0 AC1<0, 7.2<AC2<10
0.000549888 0.00165426 0.000838364 0.00446015 0 AC1<0, 7.3<AC2<10
0.000549888 0.00165426 0.000838364 0.00446015 0 AC1<0, 7.4<AC2<10
0.000549888 0.00165426 0.000838364 0.00446014 0 AC1<0, 7.5<AC2<10
0.000549888 0.00165426 0.0006148 0.00446014 0 AC1<0, 7.6<AC2<10
0.000549888 0.00165426 0.0006148 0.00446014 0 AC1<0, 7.7<AC2<10
0.000549888 0 0.0006148 1.31967e-06 0 AC1<0, 7.8<AC2<10
0.000549888 0 0.0006148 1.31967e-06 0 AC1<0, 7.9<AC2<10
0.000511965 0 0.000391236 1.31967e-06 0 AC1<0, 8<AC2<10
0.000474041 0 0.000279455 1.31967e-06 0 AC1<0, 8.1<AC2<10
0.000474041 0 0.000279455 1.31967e-06 0 AC1<0, 8.2<AC2<10
0.000436118 0 0.000279455 1.31967e-06 0 AC1<0, 8.3<AC2<10
0.000436118 0 0.000279455 1.32469e-06 0 AC1<0, 8.4<AC2<10
0.000398195 0 0.000279455 1.32469e-06 0 AC1<0, 8.5<AC2<10
0.000322348 0 0.000279455 1.32469e-06 0 AC1<0, 8.6<AC2<10
0.000322348 0 0.000279455 1.32469e-06 0 AC1<0, 8.7<AC2<10
0.000303387 0 0.000167673 2.69911e-07 0 AC1<0, 8.8<AC2<10
0.000303387 0 0.000167673 2.69911e-07 0 AC1<0, 8.9<AC2<10
0.000265463 0 0.000167673 2.69911e-07 0 AC1<0, 9<AC2<10
0.000265463 0 -5.58909e-05 2.69911e-07 0 AC1<0, 9.1<AC2<10
0.000189617 0 -5.58909e-05 2.69911e-07 0 AC1<0, 9.2<AC2<10
0.000189617 0 -5.58909e-05 2.69911e-07 0 AC1<0, 9.3<AC2<10
0.00011377 0 -5.58909e-05 2.69911e-07 0 AC1<0, 9.4<AC2<10
7.58466e-05 0 -5.58909e-05 2.69911e-07 0 AC1<0, 9.5<AC2<10
7.58466e-05 0 -5.58909e-05 2.69911e-07 0 AC1<0, 9.6<AC2<10
7.58466e-05 0 0 0 0 AC1<0, 9.7<AC2<10
3.79233e-05 0 0 0 0 AC1<0, 9.8<AC2<10
3.79233e-05 0 0 0 0 AC1<0, 9.9<AC2<10
0.00318556 0.392887 0.498491 0.507326 0.437993 AC1<0.25, 0<AC2<10
0.00318556 0.392887 0.497373 0.507326 0.438185 AC1<0.25, 0.1<AC2<10
0.00320452 0.391232 0.493349 0.507326 0.438377 AC1<0.25, 0.2<AC2<10
0.00322348 0.388751 0.485748 0.507549 0.439146 AC1<0.25, 0.3<AC2<10
0.00314764 0.388751 0.47524 0.508217 0.43357 AC1<0.25, 0.4<AC2<10
0.0031666 0.390405 0.461882 0.508327 0.428956 AC1<0.25, 0.5<AC2<10
0.00320452 0.389578 0.443383 0.508773 0.431263 AC1<0.25, 0.6<AC2<10
0.00322348 0.382961 0.423821 0.509105 0.435685 AC1<0.25, 0.7<AC2<10
0.00312867 0.381307 0.400682 0.509216 0.423572 AC1<0.25, 0.8<AC2<10
0.0031666 0.382961 0.381008 0.510219 0.418958 AC1<0.25, 0.9<AC2<10
0.00322348 0.377998 0.361949 0.506651 0.398769 AC1<0.25, 1<AC2<10
0.00324244 0.383788 0.340599 0.507653 0.401846 AC1<0.25, 1.1<AC2<10
0.00324244 0.379653 0.322323 0.499514 0.405114 AC1<0.25, 1.2<AC2<10
0.00324244 0.38048 0.303935 0.495166 0.399346 AC1<0.25, 1.3<AC2<10
0.00326141 0.382134 0.286273 0.495723 0.400884 AC1<0.25, 1.4<AC2<10
0.00331829 0.382134 0.270233 0.496391 0.402807 AC1<0.25, 1.5<AC2<10
0.00326141 0.375517 0.252906 0.492377 0.40473 AC1<0.25, 1.6<AC2<10
0.00322348 0.375517 0.240051 0.487917 0.400115 AC1<0.25, 1.7<AC2<10
0.00318556 0.373036 0.227364 0.483681 0.401846 AC1<0.25, 1.8<AC2<10
0.00307179 0.368073 0.213783 0.475097 0.396462 AC1<0.25, 1.9<AC2<10
0.00297698 0.367246 0.200481 0.475542 0.397808 AC1<0.25, 2<AC2<10
