#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0.00277068 0.000792313
36 0.86122 0.0117656
37 2.32252 0.0168581
38 2.71204 0.0176683
39 2.77392 0.0177843
40 2.66655 0.0175809
41 2.74182 0.0177245
42 2.71296 0.01767
43 2.70303 0.0176511
44 2.71411 0.0176722
45 2.63169 0.0175127
46 2.6931 0.0176321
47 2.63122 0.0175118
48 2.66655 0.0175809
49 2.62661 0.0175027
50 2.63376 0.0175168
51 2.61922 0.0174881
52 2.62476 0.017499
53 2.60421 0.0174582
54 2.64254 0.0175341
55 2.62522 0.0175
56 2.5735 0.0173965
57 2.60767 0.0174651
58 2.51324 0.0172728
59 2.52132 0.0172896
60 2.58712 0.017424
61 2.55849 0.017366
62 2.54233 0.017333
63 2.54926 0.0173472
64 2.53333 0.0173144
65 2.51786 0.0172824
66 2.44074 0.0171195
67 2.45159 0.0171428
68 2.42943 0.0170951
69 2.36362 0.0169506
70 2.31375 0.0168381
71 2.23155 0.0166467
72 2.20708 0.0165883
73 2.08632 0.0162896
74 2.03276 0.0161513
75 1.83119 0.0155958
76 1.49663 0.0145301
77 1.19324 0.0133622
78 0.796571 0.0114013
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=2.33156
