#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0 0
36 0.293971 0.00741868
37 1.82487 0.01553
38 2.46628 0.0171218
39 2.44861 0.0170842
40 2.40937 0.0169996
41 2.46996 0.0171296
42 2.38757 0.0169519
43 2.44173 0.0170695
44 2.40455 0.0169891
45 2.38252 0.0169408
46 2.41488 0.0170115
47 2.39445 0.016967
48 2.39882 0.0169766
49 2.37793 0.0169307
50 2.4275 0.0170389
51 2.4018 0.0169831
52 2.38734 0.0169514
53 2.40363 0.0169871
54 2.34236 0.0168515
55 2.37655 0.0169276
56 2.3738 0.0169215
57 2.36256 0.0168966
58 2.38642 0.0169494
59 2.36875 0.0169104
60 2.38344 0.0169428
61 2.31391 0.0167871
62 2.36485 0.0169017
63 2.40111 0.0169816
64 2.32331 0.0168085
65 2.34076 0.0168479
66 2.30679 0.0167709
67 2.34121 0.0168489
68 2.33364 0.0168318
69 2.29073 0.0167341
70 2.22142 0.016572
71 2.18952 0.0164956
72 2.12343 0.0163334
73 2.09498 0.0162619
74 2.05023 0.0161474
75 1.94604 0.0158708
76 1.65092 0.0150005
77 1.39917 0.0141358
78 1.11255 0.0129704
79 0.346294 0.00797824
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=2.17001
