#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0.0995137 0.00452351
36 2.34215 0.0169025
37 4.61642 0.0201276
38 5.80273 0.0208655
39 5.85953 0.0208902
40 5.92995 0.0209195
41 5.85053 0.0208863
42 5.9378 0.0209227
43 5.92464 0.0209174
44 5.85076 0.0208864
45 5.82929 0.0208771
46 5.79858 0.0208637
47 5.76718 0.0208496
48 5.74085 0.0208376
49 5.66743 0.0208032
50 5.64919 0.0207944
51 5.57992 0.0207602
52 5.57484 0.0207576
53 5.48688 0.020712
54 5.39614 0.0206626
55 5.38967 0.0206589
56 5.35227 0.0206378
57 5.2957 0.0206049
58 5.25437 0.0205803
59 5.20496 0.0205501
60 5.12392 0.020499
61 5.05142 0.0204514
62 5.10406 0.0204861
63 5.01401 0.0204262
64 4.89187 0.0203405
65 4.77897 0.0202566
66 4.71686 0.0202085
67 4.5864 0.0201027
68 4.52845 0.0200537
69 4.42062 0.0199588
70 4.3509 0.0198949
71 4.29456 0.0198419
72 4.14217 0.0196914
73 4.01472 0.0195576
74 3.93137 0.019466
75 3.57557 0.0190353
76 3.0115 0.0182015
77 2.46775 0.0171772
78 1.53357 0.014658
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=4.78954
