#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0.0115445 0.00160133
36 1.11705 0.0130302
37 2.48484 0.0172134
38 3.03413 0.018239
39 3.03528 0.0182409
40 3.06184 0.0182844
41 2.98587 0.0181586
42 3.06207 0.0182848
43 2.98864 0.0181632
44 2.95355 0.0181037
45 2.92446 0.0180537
46 2.97571 0.0181414
47 2.98564 0.0181582
48 2.94154 0.0180831
49 2.93461 0.0180712
50 2.92145 0.0180485
51 2.93993 0.0180804
52 2.97687 0.0181434
53 2.91891 0.0180441
54 2.90275 0.0180159
55 2.93392 0.01807
56 2.90391 0.018018
57 2.92007 0.0180461
58 2.82125 0.0178709
59 2.82887 0.0178847
60 2.86396 0.0179476
61 2.73928 0.0177198
62 2.74782 0.0177358
63 2.76122 0.0177608
64 2.7222 0.0176875
65 2.65939 0.017567
66 2.637 0.0175232
67 2.60767 0.0174651
68 2.50193 0.0172493
69 2.49685 0.0172386
70 2.42827 0.0170926
71 2.41049 0.017054
72 2.32114 0.0168549
73 2.2588 0.016711
74 2.18468 0.0165342
75 1.95541 0.0159449
76 1.64325 0.0150218
77 1.32046 0.0138796
78 0.796571 0.0114013
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=2.55957
