#Acceptance by SIMC
#1.9<pe[GeV/c]<2.3, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0.00822715 0.00145372
28 1.54113 0.0157427
29 4.17621 0.0211484
30 5.27971 0.0220807
31 5.42408 0.0221692
32 5.44664 0.0221824
33 5.5581 0.0222454
34 5.52466 0.0222269
35 5.5857 0.0222604
36 5.54483 0.0222381
37 5.54351 0.0222374
38 5.60003 0.0222681
39 5.53687 0.0222337
40 5.52652 0.022228
41 5.59738 0.0222667
42 5.65417 0.0222966
43 5.54457 0.022238
44 5.49361 0.0222095
45 5.47397 0.0221983
46 5.44319 0.0221804
47 5.51882 0.0222237
48 5.55996 0.0222464
49 5.41506 0.0221639
50 5.5236 0.0222263
51 5.48167 0.0222027
52 5.45513 0.0221874
53 5.51325 0.0222205
54 5.41028 0.0221611
55 5.44266 0.0221801
56 5.43523 0.0221758
57 5.45885 0.0221895
58 5.32376 0.0221084
59 5.39223 0.0221503
60 5.42328 0.0221688
61 5.3986 0.0221541
62 5.43071 0.0221731
63 5.30333 0.0220956
64 5.34207 0.0221198
65 5.28263 0.0220825
66 5.24255 0.0220568
67 5.18655 0.0220198
68 5.05518 0.021929
69 5.03528 0.0219147
70 4.92461 0.0218325
71 4.9193 0.0218284
72 4.70991 0.0216599
73 4.45965 0.0214355
74 3.9416 0.020882
75 3.39277 0.0201417
76 2.58969 0.018686
77 0.480625 0.00989646
78 0 0
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=4.952
