#Acceptance by SIMC
#1.9<pe[GeV/c]<2.3, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0.000265392 0.00026462
28 1.25477 0.0146
29 4.59154 0.021557
30 5.1425 0.02199
31 5.11198 0.021969
32 5.21123 0.0220363
33 5.20433 0.0220317
34 5.21601 0.0220394
35 5.24574 0.0220588
36 5.22371 0.0220445
37 5.19823 0.0220276
38 5.2736 0.0220768
39 5.25741 0.0220664
40 5.23698 0.0220531
41 5.23751 0.0220535
42 5.27121 0.0220753
43 5.29722 0.0220918
44 5.24892 0.0220609
45 5.32801 0.0221111
46 5.27679 0.0220788
47 5.22079 0.0220425
48 5.1908 0.0220227
49 5.17567 0.0220125
50 5.13401 0.0219842
51 5.15922 0.0220014
52 5.18841 0.0220211
53 5.09791 0.0219592
54 5.1693 0.0220083
55 5.09075 0.0219542
56 5.09818 0.0219594
57 5.04298 0.0219202
58 4.98751 0.0218797
59 5.02281 0.0219056
60 4.94213 0.0218458
61 4.96973 0.0218665
62 4.87976 0.0217979
63 4.81554 0.021747
64 4.88215 0.0217998
65 4.77812 0.0217167
66 4.7675 0.021708
67 4.72371 0.0216716
68 4.64781 0.0216066
69 4.55466 0.0215238
70 4.40073 0.0213788
71 4.48857 0.0214628
72 4.36862 0.0213473
73 4.1855 0.0211584
74 3.69001 0.0205643
75 3.05572 0.0195923
76 2.24415 0.0178792
77 0.38933 0.00903283
78 0 0
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=4.63118
