#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0.000692671 0.000398035
36 0.719454 0.0109373
37 2.19438 0.0165577
38 2.37424 0.0169742
39 2.43705 0.0171115
40 2.41834 0.0170711
41 2.41811 0.0170706
42 2.38625 0.0170008
43 2.36501 0.0169537
44 2.38533 0.0169987
45 2.39318 0.017016
46 2.43243 0.0171016
47 2.3754 0.0169768
48 2.37401 0.0169737
49 2.38625 0.0170008
50 2.33938 0.0168962
51 2.37055 0.016966
52 2.36247 0.016948
53 2.35762 0.0169372
54 2.33799 0.0168931
55 2.32968 0.0168743
56 2.3567 0.0169351
57 2.37471 0.0169752
58 2.35693 0.0169356
59 2.29159 0.0167872
60 2.31675 0.0168449
61 2.34838 0.0169165
62 2.2812 0.0167632
63 2.3216 0.016856
64 2.29551 0.0167963
65 2.28905 0.0167814
66 2.24333 0.0166746
67 2.30775 0.0168244
68 2.31098 0.0168318
69 2.25834 0.0167099
70 2.20015 0.0165716
71 2.14335 0.0164329
72 2.12581 0.0163892
73 2.09648 0.0163154
74 2.02791 0.0161386
75 1.83904 0.0156185
76 1.54535 0.0146981
77 1.22233 0.0134844
78 0.777869 0.0112919
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=2.13838
