#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0 0
36 0.279055 0.00724792
37 1.45999 0.0143567
38 1.97931 0.0159608
39 2.01443 0.016054
40 1.94558 0.0158696
41 1.97289 0.0159435
42 1.94948 0.0158802
43 1.95338 0.0158908
44 1.98092 0.0159651
45 1.92217 0.0158054
46 1.95866 0.0159051
47 1.92791 0.0158212
48 1.94076 0.0158564
49 1.96646 0.0159262
50 1.91942 0.0157978
51 1.90152 0.0157481
52 1.94374 0.0158646
53 1.92814 0.0158218
54 1.90313 0.0157526
55 1.9247 0.0158123
56 1.91253 0.0157787
57 1.90909 0.0157692
58 1.89601 0.0157327
59 1.85975 0.0156303
60 1.89991 0.0157436
61 1.84736 0.0155949
62 1.90496 0.0157577
63 1.86411 0.0156427
64 1.86641 0.0156492
65 1.89004 0.015716
66 1.83887 0.0155705
67 1.85631 0.0156205
68 1.81041 0.0154878
69 1.77599 0.0153862
70 1.78724 0.0154196
71 1.73377 0.0152589
72 1.74088 0.0152806
73 1.72344 0.0152274
74 1.62476 0.0149164
75 1.58919 0.0148001
76 1.33653 0.0138995
77 1.05701 0.0127166
78 0.806184 0.0114219
79 0.249222 0.00688873
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=1.73981
