#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0.00300157 0.000824346
36 0.657114 0.0105353
37 1.79609 0.015493
38 1.98127 0.0160148
39 2.01937 0.0161161
40 1.95033 0.015931
41 1.96926 0.0159824
42 1.95402 0.0159411
43 1.96164 0.0159618
44 1.97596 0.0160005
45 1.97273 0.0159918
46 1.95472 0.015943
47 1.92101 0.0158504
48 1.95887 0.0159543
49 1.96141 0.0159612
50 1.94802 0.0159247
51 1.93879 0.0158994
52 1.94086 0.0159051
53 1.93255 0.0158823
54 1.91547 0.0158351
55 1.90715 0.0158119
56 1.94779 0.0159241
57 1.92678 0.0158664
58 1.93601 0.0158918
59 1.89469 0.015777
60 1.91916 0.0158453
61 1.89307 0.0157725
62 1.90323 0.015801
63 1.86328 0.0156882
64 1.87737 0.0157282
65 1.89861 0.015788
66 1.80741 0.0155263
67 1.85336 0.0156597
68 1.86767 0.0157007
69 1.79609 0.015493
70 1.80533 0.0155202
71 1.77901 0.0154422
72 1.72706 0.015285
73 1.69774 0.0151943
74 1.62223 0.0149538
75 1.50841 0.0145712
76 1.27036 0.013681
77 0.96489 0.012309
78 0.581612 0.0100109
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=1.74911
