#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0.0223964 0.00221326
36 2.10202 0.0163294
37 4.73625 0.0202237
38 5.81358 0.0208703
39 5.88054 0.0208991
40 5.91702 0.0209142
41 5.82097 0.0208735
42 5.84429 0.0208836
43 5.83206 0.0208783
44 5.8182 0.0208723
45 5.73185 0.0208335
46 5.81174 0.0208695
47 5.74824 0.020841
48 5.68613 0.0208121
49 5.68267 0.0208105
50 5.69075 0.0208143
51 5.74201 0.0208382
52 5.70761 0.0208222
53 5.64573 0.0207927
54 5.63257 0.0207863
55 5.69837 0.0208179
56 5.68244 0.0208104
57 5.60948 0.0207749
58 5.53813 0.0207388
59 5.51897 0.0207289
60 5.55291 0.0207464
61 5.42361 0.0206778
62 5.44947 0.0206919
63 5.42684 0.0206796
64 5.38182 0.0206545
65 5.31209 0.0206145
66 5.2449 0.0205746
67 5.15532 0.0205191
68 5.03641 0.0204414
69 4.99162 0.0204109
70 4.86278 0.0203193
71 4.78197 0.0202589
72 4.66583 0.0201679
73 4.53792 0.0200618
74 4.44925 0.0199844
75 3.93714 0.0194724
76 3.36107 0.0187418
77 2.73143 0.017705
78 1.7072 0.0152237
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=5.02099
