#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0 0
36 0.383012 0.00833966
37 2.05619 0.0161628
38 2.76875 0.0177206
39 2.83254 0.0178369
40 2.72652 0.0176418
41 2.78206 0.0177451
42 2.74006 0.0176672
43 2.76852 0.0177202
44 2.77196 0.0177265
45 2.70862 0.017608
46 2.73042 0.0176492
47 2.70862 0.017608
48 2.70334 0.0175979
49 2.72629 0.0176414
50 2.70678 0.0176045
51 2.68889 0.0175703
52 2.70357 0.0175984
53 2.70839 0.0176075
54 2.68384 0.0175607
55 2.70908 0.0176089
56 2.67787 0.0175492
57 2.69049 0.0175734
58 2.6664 0.0175271
59 2.62876 0.0174536
60 2.66571 0.0175257
61 2.62188 0.0174401
62 2.64758 0.0174905
63 2.63817 0.0174721
64 2.63496 0.0174658
65 2.66341 0.0175213
66 2.5964 0.0173895
67 2.5886 0.0173739
68 2.56726 0.0173309
69 2.53398 0.017263
70 2.54316 0.0172819
71 2.41213 0.0170056
72 2.44655 0.0170798
73 2.38528 0.0169469
74 2.30496 0.0167667
75 2.18884 0.0164939
76 1.89877 0.0157404
77 1.50772 0.0145244
78 1.16372 0.0131954
79 0.3479 0.00799455
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=2.44609
