#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0.00046178 0.000325276
36 0.773482 0.011266
37 2.37471 0.0169752
38 2.58782 0.0174254
39 2.59474 0.0174393
40 2.53564 0.0173192
41 2.53587 0.0173197
42 2.51601 0.0172786
43 2.5077 0.0172613
44 2.5638 0.0173768
45 2.55088 0.0173505
46 2.54326 0.0173349
47 2.52155 0.0172901
48 2.51255 0.0172714
49 2.5197 0.0172863
50 2.45136 0.0171423
51 2.49408 0.0172328
52 2.48161 0.0172066
53 2.46475 0.0171708
54 2.47076 0.0171836
55 2.42273 0.0170806
56 2.4666 0.0171748
57 2.49177 0.017228
58 2.46868 0.0171792
59 2.43843 0.0171145
60 2.42342 0.0170821
61 2.45806 0.0171566
62 2.42065 0.0170761
63 2.43474 0.0171066
64 2.42966 0.0170956
65 2.42619 0.0170881
66 2.40818 0.0170489
67 2.41927 0.0170731
68 2.39872 0.0170282
69 2.36455 0.0169527
70 2.36339 0.0169501
71 2.3186 0.0168491
72 2.33222 0.0168801
73 2.25372 0.0166991
74 2.2431 0.0166741
75 2.02352 0.016127
76 1.758 0.0153792
77 1.38303 0.0141188
78 0.838593 0.0116405
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=2.27242
