#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0.00046178 0.000325276
36 0.646262 0.0104626
37 2.23987 0.0166664
38 2.36639 0.0169568
39 2.35393 0.0169289
40 2.31652 0.0168444
41 2.33384 0.0168837
42 2.31237 0.0168349
43 2.28905 0.0167814
44 2.26803 0.0167326
45 2.25233 0.0166958
46 2.32737 0.0168691
47 2.33037 0.0168759
48 2.28697 0.0167766
49 2.25256 0.0166964
50 2.28812 0.0167792
51 2.22901 0.0166407
52 2.24679 0.0166828
53 2.20685 0.0165878
54 2.22832 0.0166391
55 2.20523 0.0165839
56 2.22878 0.0166402
57 2.19115 0.0165499
58 2.1646 0.0164852
59 2.17129 0.0165016
60 2.12765 0.0163938
61 2.09925 0.0163224
62 2.15374 0.0164585
63 2.10341 0.0163329
64 2.08886 0.016296
65 2.06785 0.0162423
66 2.0443 0.0161814
67 2.02583 0.0161331
68 1.98796 0.0160327
69 2.00597 0.0160807
70 1.97804 0.0160061
71 1.92101 0.0158504
72 1.83281 0.0156005
73 1.77855 0.0154408
74 1.77601 0.0154333
75 1.64948 0.0150418
76 1.32947 0.0139146
77 1.08241 0.0128732
78 0.686206 0.0107262
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=1.98807
