#Acceptance by SIMC
#1.9<pe[GeV/c]<2.3, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0.00583862 0.00122782
28 1.44639 0.0153867
29 4.32297 0.0213016
30 5.24043 0.0220554
31 5.37551 0.0221402
32 5.39037 0.0221492
33 5.40417 0.0221574
34 5.45831 0.0221892
35 5.50662 0.0222168
36 5.49175 0.0222084
37 5.49998 0.0222131
38 5.48406 0.022204
39 5.43602 0.0221762
40 5.52971 0.0222297
41 5.48247 0.0222031
42 5.5029 0.0222147
43 5.38852 0.022148
44 5.43416 0.0221752
45 5.4684 0.022195
46 5.40736 0.0221593
47 5.46389 0.0221924
48 5.42461 0.0221695
49 5.45407 0.0221868
50 5.40869 0.0221601
51 5.42249 0.0221683
52 5.41346 0.0221629
53 5.3649 0.0221338
54 5.40338 0.0221569
55 5.29589 0.0220909
56 5.4692 0.0221955
57 5.35136 0.0221255
58 5.40577 0.0221584
59 5.3633 0.0221328
60 5.3227 0.0221078
61 5.36941 0.0221365
62 5.34552 0.0221219
63 5.31713 0.0221043
64 5.26166 0.0220691
65 5.22212 0.0220434
66 5.21256 0.0220371
67 5.18071 0.0220159
68 5.10481 0.021964
69 4.98459 0.0218776
70 4.96177 0.0218606
71 4.84314 0.0217691
72 4.81739 0.0217485
73 4.47716 0.0214521
74 4.02042 0.0209746
75 3.40232 0.0201562
76 2.62711 0.018766
77 0.497079 0.0100403
78 0 0
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=4.91146
