#Acceptance by SIMC
#1.9<pe[GeV/c]<2.3, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0.0199044 0.00224049
28 1.7078 0.0163236
29 4.14224 0.0211115
30 5.3304 0.0221125
31 5.52201 0.0222254
32 5.55014 0.022241
33 5.58438 0.0222597
34 5.60189 0.0222691
35 5.58385 0.0222594
36 5.67647 0.022308
37 5.62418 0.0222809
38 5.66506 0.0223022
39 5.58199 0.0222584
40 5.63294 0.0222855
41 5.60932 0.022273
42 5.60269 0.0222695
43 5.57509 0.0222547
44 5.54908 0.0222405
45 5.53714 0.0222339
46 5.55253 0.0222423
47 5.54297 0.0222371
48 5.65975 0.0222994
49 5.59818 0.0222671
50 5.56739 0.0222505
51 5.60667 0.0222716
52 5.54616 0.0222388
53 5.53554 0.022233
54 5.56261 0.0222479
55 5.48777 0.0222061
56 5.45805 0.0221891
57 5.46999 0.022196
58 5.47769 0.0222004
59 5.40524 0.0221581
60 5.3304 0.0221125
61 5.38692 0.0221471
62 5.42275 0.0221684
63 5.36702 0.022135
64 5.26139 0.022069
65 5.25635 0.0220657
66 5.13003 0.0219815
67 5.02626 0.0219081
68 4.95779 0.0218576
69 4.89834 0.0218123
70 4.77042 0.0217104
71 4.7184 0.0216671
72 4.66479 0.0216214
73 4.35827 0.021337
74 3.88773 0.0208168
75 3.35216 0.0200797
76 2.57563 0.0186556
77 0.470274 0.00980429
78 0 0
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=4.96867
