#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0.000458972 0.000323301
36 0.40596 0.00855439
37 1.77668 0.0153883
38 2.50461 0.0172023
39 2.5466 0.0172889
40 2.52664 0.0172479
41 2.52251 0.0172394
42 2.58722 0.0173711
43 2.51103 0.0172157
44 2.50759 0.0172085
45 2.5466 0.0172889
46 2.53054 0.017256
47 2.47455 0.0171393
48 2.5388 0.0172729
49 2.51103 0.0172157
50 2.46307 0.017115
51 2.46376 0.0171164
52 2.47432 0.0171388
53 2.50002 0.0171927
54 2.50667 0.0172066
55 2.48969 0.0171711
56 2.44747 0.0170817
57 2.48808 0.0171678
58 2.44058 0.017067
59 2.42566 0.0170349
60 2.45412 0.0170959
61 2.42176 0.0170265
62 2.39514 0.0169685
63 2.44678 0.0170803
64 2.39193 0.0169615
65 2.43599 0.0170571
66 2.38046 0.0169362
67 2.35659 0.0168833
68 2.29761 0.0167499
69 2.27145 0.0166896
70 2.24644 0.0166311
71 2.2166 0.0165605
72 2.15694 0.0164162
73 2.07065 0.0162
74 2.00456 0.016028
75 1.91024 0.0157723
76 1.59952 0.0148341
77 1.35282 0.0139618
78 1.11209 0.0129683
79 0.373603 0.00824923
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=2.17968
