#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0.0891236 0.00429456
36 2.00505 0.0160783
37 3.86349 0.0193888
38 4.86324 0.0203196
39 4.9018 0.0203476
40 4.96275 0.0203908
41 4.89649 0.0203438
42 4.99416 0.0204126
43 4.97014 0.020396
44 4.90111 0.0203471
45 4.88425 0.020335
46 4.84985 0.0203098
47 4.85193 0.0203113
48 4.80529 0.0202766
49 4.74618 0.0202314
50 4.71339 0.0202057
51 4.66444 0.0201668
52 4.65336 0.0201578
53 4.58502 0.0201016
54 4.50605 0.0200343
55 4.46103 0.0199949
56 4.44233 0.0199783
57 4.36175 0.019905
58 4.35736 0.019901
59 4.30772 0.0198544
60 4.24538 0.0197944
61 4.1611 0.0197107
62 4.19481 0.0197446
63 4.14032 0.0196896
64 4.0288 0.0195728
65 3.90897 0.0194408
66 3.86995 0.0193963
67 3.72334 0.0192222
68 3.69701 0.0191898
69 3.57787 0.0190383
70 3.51669 0.0189574
71 3.46012 0.0188807
72 3.33567 0.0187053
73 3.21584 0.0185272
74 3.14449 0.0184168
75 2.87758 0.0179717
76 2.40888 0.0170504
77 1.96488 0.0159706
78 1.23365 0.0135313
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=3.96233
