#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0.000229486 0.000228865
36 0.436482 0.00882813
37 2.13399 0.0163596
38 2.91998 0.017991
39 2.9209 0.0179925
40 2.93421 0.0180155
41 2.93398 0.0180151
42 2.93788 0.0180218
43 2.9186 0.0179886
44 2.9069 0.0179683
45 2.92893 0.0180064
46 2.9147 0.0179818
47 2.90919 0.0179723
48 2.90529 0.0179655
49 2.90965 0.0179731
50 2.87637 0.0179149
51 2.83094 0.017834
52 2.88028 0.0179217
53 2.85733 0.0178811
54 2.86674 0.0178978
55 2.86765 0.0178995
56 2.82222 0.0178183
57 2.87362 0.01791
58 2.90254 0.0179607
59 2.90575 0.0179663
60 2.86628 0.017897
61 2.88969 0.0179382
62 2.84654 0.0178619
63 2.83759 0.0178459
64 2.83392 0.0178393
65 2.7871 0.0177544
66 2.82038 0.0178149
67 2.80914 0.0177946
68 2.75085 0.0176874
69 2.76255 0.0177091
70 2.76783 0.0177189
71 2.67787 0.0175492
72 2.67007 0.0175342
73 2.6423 0.0174802
74 2.59847 0.0173936
75 2.50002 0.0171927
76 2.13904 0.0163721
77 1.75098 0.0153112
78 1.38036 0.0140658
79 0.394027 0.00844374
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=2.57821
