#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0.0193948 0.00206354
36 1.72868 0.01529
37 3.83924 0.0193607
38 4.7314 0.0202199
39 4.75588 0.0202389
40 4.82029 0.0202878
41 4.72909 0.0202181
42 4.75772 0.0202403
43 4.72471 0.0202146
44 4.73671 0.020224
45 4.65221 0.0201569
46 4.69862 0.0201941
47 4.68407 0.0201825
48 4.6372 0.0201447
49 4.63928 0.0201464
50 4.64205 0.0201486
51 4.66237 0.0201651
52 4.66537 0.0201675
53 4.61249 0.0201244
54 4.57971 0.0200971
55 4.65082 0.0201557
56 4.64482 0.0201509
57 4.5931 0.0201083
58 4.51321 0.0200405
59 4.48897 0.0200195
60 4.51806 0.0200447
61 4.39523 0.0199358
62 4.39961 0.0199398
63 4.40261 0.0199425
64 4.36175 0.019905
65 4.2844 0.0198322
66 4.24261 0.0197917
67 4.15487 0.0197044
68 4.04081 0.0195856
69 4.01841 0.0195616
70 3.89604 0.0194261
71 3.83532 0.0193561
72 3.74088 0.0192436
73 3.61759 0.0190896
74 3.52015 0.018962
75 3.12926 0.0183927
76 2.65547 0.0175593
77 2.16991 0.0164982
78 1.34309 0.0139672
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=4.06667
