#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0 0
36 0.680433 0.0106888
37 2.17568 0.0165123
38 2.2177 0.0166138
39 2.2207 0.0166209
40 2.23248 0.0166489
41 2.1893 0.0165454
42 2.20731 0.0165889
43 2.23271 0.0166495
44 2.20015 0.0165716
45 2.21793 0.0166143
46 2.16829 0.0164943
47 2.21077 0.0165972
48 2.18376 0.016532
49 2.19276 0.0165538
50 2.16875 0.0164954
51 2.1833 0.0165309
52 2.1736 0.0165072
53 2.16252 0.0164801
54 2.14289 0.0164317
55 2.12765 0.0163938
56 2.15167 0.0164534
57 2.14081 0.0164266
58 2.16298 0.0164812
59 2.12719 0.0163927
60 2.08933 0.0162972
61 2.12511 0.0163875
62 2.07847 0.0162695
63 2.04684 0.016188
64 2.02745 0.0161373
65 2.04869 0.0161928
66 2.05954 0.0162209
67 2.01267 0.0160984
68 2.03414 0.0161549
69 2.00805 0.0160862
70 1.97896 0.0160086
71 1.93971 0.015902
72 1.9 0.0157919
73 1.87737 0.0157282
74 1.82819 0.0155871
75 1.70397 0.0152137
76 1.41536 0.0142388
77 1.12998 0.0130878
78 0.691516 0.0107604
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=1.9969
