#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0.00023089 0.000230264
36 0.551366 0.00978758
37 1.68596 0.0151574
38 1.83881 0.0156179
39 1.84043 0.0156225
40 1.80279 0.0155127
41 1.78894 0.0154718
42 1.80533 0.0155202
43 1.78871 0.0154711
44 1.82565 0.0155797
45 1.80441 0.0155175
46 1.79794 0.0154984
47 1.78755 0.0154677
48 1.77739 0.0154374
49 1.78109 0.0154484
50 1.74276 0.015333
51 1.76077 0.0153875
52 1.76954 0.0154139
53 1.74045 0.015326
54 1.75061 0.0153568
55 1.71528 0.0152488
56 1.73629 0.0153133
57 1.76816 0.0154097
58 1.73837 0.0153196
59 1.71575 0.0152502
60 1.7259 0.0152815
61 1.73006 0.0152942
62 1.74391 0.0153365
63 1.70028 0.0152022
64 1.71482 0.0152473
65 1.70605 0.0152202
66 1.71875 0.0152594
67 1.69289 0.0151791
68 1.70004 0.0152015
69 1.6788 0.0151349
70 1.66795 0.0151006
71 1.65525 0.0150602
72 1.64463 0.0150262
73 1.59083 0.0148507
74 1.58922 0.0148454
75 1.43937 0.0143264
76 1.25674 0.0136259
77 0.981053 0.0123897
78 0.584614 0.0100326
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=1.6099
