#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0.000692671 0.000398035
36 1.63493 0.014995
37 5.24837 0.0205767
38 5.48803 0.0207126
39 5.45732 0.0206962
40 5.42084 0.0206763
41 5.47995 0.0207083
42 5.42223 0.020677
43 5.43862 0.020686
44 5.37051 0.0206481
45 5.34742 0.020635
46 5.3712 0.0206485
47 5.37143 0.0206487
48 5.35388 0.0206387
49 5.3114 0.0206141
50 5.33911 0.0206302
51 5.24813 0.0205765
52 5.28485 0.0205985
53 5.27954 0.0205954
54 5.27099 0.0205903
55 5.25783 0.0205824
56 5.24837 0.0205767
57 5.17356 0.0205306
58 5.12853 0.020502
59 5.13939 0.0205089
60 5.07127 0.0204646
61 5.01286 0.0204254
62 5.07404 0.0204665
63 4.92904 0.0203671
64 4.94059 0.0203753
65 4.93205 0.0203692
66 4.79005 0.020265
67 4.79744 0.0202706
68 4.76511 0.020246
69 4.74456 0.0202301
70 4.64897 0.0201543
71 4.57001 0.020089
72 4.46773 0.0200008
73 4.32919 0.0198747
74 4.29848 0.0198456
75 4.01033 0.0195529
76 3.31743 0.0186788
77 2.63053 0.0175104
78 1.52872 0.0146413
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=4.70331
