#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0.00275383 0.000787516
36 1.07239 0.0127879
37 3.30643 0.0186058
38 4.65994 0.0201017
39 4.87152 0.0202638
40 4.84445 0.0202439
41 4.78845 0.0202021
42 4.8768 0.0202676
43 4.78432 0.020199
44 4.7896 0.020203
45 4.8176 0.020224
46 4.85294 0.0202502
47 4.76711 0.0201858
48 4.78111 0.0201965
49 4.71983 0.0201493
50 4.7001 0.0201337
51 4.73085 0.0201578
52 4.72924 0.0201566
53 4.63171 0.0200788
54 4.55759 0.0200173
55 4.54749 0.0200088
56 4.55736 0.0200171
57 4.47153 0.0199432
58 4.49012 0.0199595
59 4.42426 0.0199013
60 4.35449 0.0198377
61 4.33935 0.0198236
62 4.29093 0.019778
63 4.26729 0.0197553
64 4.23493 0.019724
65 4.12065 0.0196095
66 4.07429 0.0195613
67 3.92581 0.0194005
68 3.90975 0.0193824
69 3.79501 0.0192499
70 3.75278 0.0191994
71 3.62771 0.0190444
72 3.50126 0.018879
73 3.46776 0.0188336
74 3.38928 0.0187248
75 3.14396 0.0183598
76 2.66617 0.0175266
77 2.17438 0.0164588
78 1.78379 0.0154094
79 0.574862 0.00993141
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=3.93711
