#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0 0
36 0.0828444 0.00413623
37 1.2585 0.0135915
38 1.56647 0.0147245
39 1.5527 0.0146782
40 1.54834 0.0146635
41 1.49648 0.0144853
42 1.51667 0.0145554
43 1.54192 0.0146417
44 1.54444 0.0146503
45 1.5091 0.0145292
46 1.50497 0.0145149
47 1.50841 0.0145268
48 1.50336 0.0145093
49 1.52677 0.0145901
50 1.50107 0.0145013
51 1.48799 0.0144556
52 1.53503 0.0146183
53 1.48202 0.0144347
54 1.4912 0.0144669
55 1.50313 0.0145085
56 1.51415 0.0145466
57 1.49212 0.0144701
58 1.51736 0.0145577
59 1.499 0.0144941
60 1.48959 0.0144613
61 1.44737 0.0143115
62 1.44576 0.0143057
63 1.44989 0.0143206
64 1.4375 0.014276
65 1.43038 0.0142502
66 1.45632 0.0143436
67 1.44278 0.014295
68 1.42993 0.0142485
69 1.42717 0.0142385
70 1.4079 0.014168
71 1.40239 0.0141477
72 1.39986 0.0141384
73 1.34984 0.0139505
74 1.36705 0.0140158
75 1.32735 0.013864
76 1.19401 0.0133248
77 0.957644 0.0122352
78 0.695342 0.010752
79 0.220765 0.00652084
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=1.37416
