#Acceptance by SIMC
#1.9<pe[GeV/c]<2.3, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0.000530784 0.000373777
28 1.28423 0.0147273
29 4.49919 0.0214727
30 5.11224 0.0219692
31 5.27413 0.0220771
32 5.25901 0.0220674
33 5.28714 0.0220854
34 5.37737 0.0221413
35 5.32403 0.0221086
36 5.27626 0.0220785
37 5.34022 0.0221186
38 5.32111 0.0221068
39 5.33358 0.0221145
40 5.37896 0.0221423
41 5.3304 0.0221125
42 5.33756 0.022117
43 5.3296 0.0221121
44 5.3219 0.0221073
45 5.36569 0.0221342
46 5.38135 0.0221437
47 5.27599 0.0220783
48 5.25131 0.0220624
49 5.29138 0.0220881
50 5.20832 0.0220343
51 5.26192 0.0220693
52 5.25131 0.0220624
53 5.27281 0.0220763
54 5.24574 0.0220588
55 5.26723 0.0220727
56 5.20566 0.0220326
57 5.20062 0.0220292
58 5.16187 0.0220032
59 5.11888 0.0219738
60 5.05041 0.0219255
61 5.12286 0.0219765
62 5.11118 0.0219684
63 5.07854 0.0219456
64 5.04988 0.0219252
65 4.97955 0.0218738
66 4.9193 0.0218284
67 4.91904 0.0218282
68 4.85057 0.021775
69 4.80465 0.0217383
70 4.71575 0.0216649
71 4.60986 0.0215733
72 4.46946 0.0214448
73 4.30227 0.0212806
74 3.78316 0.020686
75 3.13614 0.0197307
76 2.34898 0.0181379
77 0.426219 0.00939624
78 0 0
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=4.74167
