#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0.000692671 0.000398035
36 1.19278 0.0133603
37 3.90135 0.0194321
38 4.04866 0.019594
39 4.09738 0.0196453
40 4.07937 0.0196264
41 4.01934 0.0195626
42 4.0639 0.0196101
43 4.08468 0.019632
44 4.06436 0.0196106
45 4.09299 0.0196407
46 4.02742 0.0195713
47 4.01056 0.0195531
48 4.03827 0.0195829
49 4.03665 0.0195812
50 4.05559 0.0196013
51 3.99879 0.0195403
52 3.966 0.0195044
53 3.96554 0.0195039
54 3.9279 0.0194621
55 3.99717 0.0195386
56 3.87434 0.0194013
57 3.89258 0.0194222
58 3.86626 0.019392
59 3.87711 0.0194045
60 3.89927 0.0194298
61 3.91105 0.0194431
62 3.92906 0.0194634
63 3.87272 0.0193995
64 3.87919 0.0194069
65 3.85125 0.0193747
66 3.82955 0.0193494
67 3.82793 0.0193475
68 3.73834 0.0192405
69 3.80876 0.019325
70 3.70602 0.0192009
71 3.68616 0.0191763
72 3.62336 0.019097
73 3.49983 0.0189347
74 3.48806 0.0189188
75 3.29896 0.0186517
76 2.70788 0.0176604
77 2.1796 0.0165219
78 1.29414 0.0137761
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=3.61843
