#Acceptance by SIMC
#1.9<pe[GeV/c]<2.3, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0.0448512 0.00331968
28 1.78927 0.0165886
29 4.08571 0.0210489
30 5.31845 0.0221051
31 5.55757 0.0222451
32 5.54881 0.0222403
33 5.65603 0.0222975
34 5.66426 0.0223018
35 5.68098 0.0223103
36 5.65709 0.0222981
37 5.57429 0.0222542
38 5.69611 0.022318
39 5.68576 0.0223128
40 5.63852 0.0222884
41 5.69558 0.0223177
42 5.70327 0.0223216
43 5.64489 0.0222917
44 5.63215 0.0222851
45 5.65975 0.0222994
46 5.51431 0.0222211
47 5.60693 0.0222718
48 5.58438 0.0222597
49 5.61569 0.0222764
50 5.59632 0.0222661
51 5.58305 0.022259
52 5.61277 0.0222749
53 5.58146 0.0222581
54 5.51325 0.0222205
55 5.49653 0.0222111
56 5.53236 0.0222312
57 5.46654 0.022194
58 5.43284 0.0221744
59 5.3434 0.0221206
60 5.3779 0.0221416
61 5.28289 0.0220827
62 5.32562 0.0221096
63 5.20513 0.0220322
64 5.10057 0.021961
65 5.12843 0.0219804
66 5.06208 0.0219339
67 4.88082 0.0217987
68 4.82668 0.021756
69 4.73512 0.0216811
70 4.7054 0.0216561
71 4.6364 0.0215967
72 4.43417 0.0214112
73 4.10747 0.0210732
74 3.75052 0.0206439
75 3.1709 0.0197891
76 2.5061 0.0185025
77 0.482482 0.00991287
78 0 0
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=4.94376
