#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0.00577226 0.0011388
36 1.01615 0.0125614
37 2.48969 0.0172236
38 2.90945 0.0180276
39 2.91407 0.0180357
40 2.92815 0.0180601
41 2.89375 0.0180002
42 2.89098 0.0179953
43 2.87343 0.0179644
44 2.89444 0.0180014
45 2.88474 0.0179843
46 2.8695 0.0179574
47 2.86719 0.0179533
48 2.89352 0.0179998
49 2.86142 0.0179431
50 2.82448 0.0178768
51 2.79862 0.0178298
52 2.82125 0.0178709
53 2.80878 0.0178483
54 2.82102 0.0178705
55 2.83464 0.0178951
56 2.72474 0.0176924
57 2.81686 0.017863
58 2.78892 0.017812
59 2.84249 0.0179092
60 2.74413 0.0177289
61 2.75683 0.0177526
62 2.73536 0.0177124
63 2.75544 0.01775
64 2.71388 0.0176718
65 2.68248 0.0176117
66 2.65177 0.0175521
67 2.63677 0.0175227
68 2.56288 0.017375
69 2.55318 0.0173552
70 2.51162 0.0172695
71 2.41419 0.017062
72 2.37678 0.0169798
73 2.27427 0.0167471
74 2.25095 0.0166926
75 2.0787 0.0162701
76 1.67442 0.0151211
77 1.33662 0.0139423
78 0.832359 0.0116056
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=2.51856
