1 0 25170.2 1086.24 361.228 4.41825 108.448 5.08999 
1 1 49072.4 1478.48 321.411 2.08272 115.001 4.29631 
1 2 58619.7 2705.26 395.341 4.09506 137.517 7.07325 
1 3 73531.6 1429.84 326.468 1.38241 105.577 2.6223 
1 4 80340.3 2137.05 353.408 1.76554 121.272 3.94627 
1 5 83150.5 3284.88 389.959 2.80407 141.429 6.44019 
1 6 68402.7 1371.04 337.337 1.4161 105.604 2.70774 
1 7 76273 1509.65 376.006 1.32625 107.217 2.72533 
1 8 72002.8 1345.22 328.35 1.29928 103.679 2.50598 
1 9 68559.5 1399.77 371.506 1.49924 106.277 2.74446 
1 10 61004 1406 364.142 1.58239 109.148 3.19291 
1 11 55403.5 1408.61 371.535 1.80395 111.116 3.53687 
1 12 36935.3 537.507 231.185 1.09036 81.9719 1.64368 
1 13 47399.8 1388.1 393.849 2.10262 113.856 4.12538 
1 14 58179.9 767.234 269.987 1.08465 83.779 1.44239 
1 15 71076.8 890.405 252.447 0.983407 87.5491 1.45796 
1 16 68474.4 720.134 338.738 0.815024 80.721 1.15669 
1 17 43939.8 1054.69 400.529 1.67545 104.891 3.24349 
1 18 84298.8 2405.71 379.725 2.09752 124.427 4.22903 
1 19 48901.3 1269.99 398.053 1.76531 109.585 3.61374 
1 20 74267.3 2117.04 336.714 1.93704 122.486 4.24171 
1 21 62537.4 1549.04 336.811 1.65405 112.396 3.50558 
1 22 59279.5 3126.45 349.358 6.86225 126.229 5.7905 
1 23 51069.3 1547.93 322.87 1.99174 116.993 4.40571 
2 0 66137.9 3953.38 309.701 3.57484 159.337 10.8074 
2 1 75653.2 4791.23 318.659 4.71997 165.706 11.583 
2 2 97242.5 6827.3 311.402 8.65831 171.797 11.9669 
2 3 44781.2 324.791 114.484 0.314554 26.8644 0.15895 
2 4 137687 6088.16 285.51 3.35818 161.487 7.90399 
2 5 120030 8110.01 445.078 5.27456 186.323 13.5588 
2 6 157473 11615.5 330.712 6.7429 201.163 15.5721 
2 7 140080 3896.74 293.348 1.91247 136.211 4.43122 
2 8 145564 11211.8 312.887 5.70241 202.765 16.6793 
2 9 124722 6341.6 391.787 4.65325 165.345 9.02685 
2 10 100481 12684.2 380.506 22.0097 205.495 22.4669 
2 11 84255.4 8196.02 361.161 9.72522 196.79 19.8879 
2 12 72382.9 2664.73 318.612 2.38231 134.488 5.85844 
2 13 50933.7 4299.68 342.938 9.54874 165.389 14.2546 
2 14 70507.3 2446.03 300.094 2.64674 129.129 5.23879 
2 15 91064 2610.84 301.272 2.71023 122.488 3.92642 
2 16 102318 4332.59 286.773 4.78761 142.448 6.16648 
2 17 157503 13622.3 342.511 6.98804 215.228 19.6163 
2 18 145280 8729.46 343.392 4.42262 184.462 12.0143 
2 19 153091 18213.6 379.435 13.1479 239.194 28.8702 
2 20 148745 11648.4 349.18 6.72942 203.558 16.8114 
2 21 130863 5510.52 309.305 2.58505 158.31 7.56125 
2 22 140311 10238.1 296.583 7.29501 193.337 14.6749 
2 23 101960 4307.39 365.359 2.79812 151.703 7.30796 
2 24 40840.9 1225.19 331.667 2.01592 111.479 4.22292 
2 25 96915.5 32717.1 333.309 66.7383 323.947 100.142 
