0.00582123 0.00661704 0.00111782 0.00880767 -0.000961354 AC1<0, 11.6<AC2<20
0.00570746 0.00661704 0.00100604 0.00880767 -0.000961354 AC1<0, 11.8<AC2<20
0.00563161 0.00496278 0.00100604 0.00434892 -0.000961354 AC1<0, 12<AC2<20
0.00540407 0.00496278 0.00100604 0.00434894 -0.000961354 AC1<0, 12.2<AC2<20
0.00521446 0.00496278 0.00100604 0.00434894 -0.000961354 AC1<0, 12.4<AC2<20
0.00510069 0.00496278 0.000894254 0.00434894 -0.000961354 AC1<0, 12.6<AC2<20
0.00502484 0.00496278 0.000894254 0.00434888 -0.000769083 AC1<0, 12.8<AC2<20
0.00487315 0.00496278 0.000950145 0.00434907 -0.000576812 AC1<0, 13<AC2<20
0.00483522 0.00496278 0.000838364 0.00434906 -0.000576812 AC1<0, 13.2<AC2<20
0.00472145 0.00496278 0.000838364 0.00434906 -0.000576812 AC1<0, 13.4<AC2<20
0.00468353 0.00496278 0.000838364 0.00434905 -0.000576812 AC1<0, 13.6<AC2<20
0.00445599 0.00496278 0.0006148 0.00434905 -0.000576812 AC1<0, 13.8<AC2<20
0.0043043 0.00496278 0.0006148 0.00434894 -0.000576812 AC1<0, 14<AC2<20
0.0041526 0.00496278 0.0006148 0.00434894 -0.000576812 AC1<0, 14.2<AC2<20
0.00407676 0.00496278 0.000503018 0.00434894 -0.000576812 AC1<0, 14.4<AC2<20
0.00400091 0.00330852 0.000503018 0.00434895 -0.000576812 AC1<0, 14.6<AC2<20
0.00392506 0.00413565 0.000503018 0.004349 -0.000576812 AC1<0, 14.8<AC2<20
0.00377337 0.00413565 0.000503018 0.004349 -0.000576812 AC1<0, 15<AC2<20
0.00369752 0.00413565 0.000503018 0.00434893 -0.000384541 AC1<0, 15.2<AC2<20
0.00362168 0.00413565 0.000503018 0.00434893 -0.000384541 AC1<0, 15.4<AC2<20
0.00331829 0.00413565 0.000503018 0.00434893 -0.000384541 AC1<0, 15.6<AC2<20
0.00320452 0.00248139 0.000447127 0.00434865 -0.000384541 AC1<0, 15.8<AC2<20
0.0030149 0.00248139 0.000503018 0.00434864 -0.000384541 AC1<0, 16<AC2<20
0.00290113 0.00248139 0.000503018 0.00434864 -0.000384541 AC1<0, 16.2<AC2<20
0.00271152 0.00248139 0.000503018 0.00434864 -0.000384541 AC1<0, 16.4<AC2<20
0.00248398 0.00248139 0.000503018 0.00434864 -0.000384541 AC1<0, 16.6<AC2<20
0.00233228 0.00248139 0.000279455 0.00434864 -0.000384541 AC1<0, 16.8<AC2<20
0.00210474 0.00248139 0.000167673 0.00434864 -0.000384541 AC1<0, 17<AC2<20
0.00183928 0.00248139 5.58909e-05 0.00434864 -0.000384541 AC1<0, 17.2<AC2<20
0.00174447 0.00248139 5.58909e-05 0.00434861 -0.000384541 AC1<0, 17.4<AC2<20
0.00159278 0.00248139 5.58909e-05 0.00434861 -0.000384541 AC1<0, 17.6<AC2<20
0.00155486 0 5.58909e-05 -0.000110194 -0.000384541 AC1<0, 17.8<AC2<20
0.00147901 0 5.58909e-05 -0.000110175 -0.000384541 AC1<0, 18<AC2<20
0.00128939 0 5.58909e-05 -0.000110175 -0.000384541 AC1<0, 18.2<AC2<20
0.00117562 0 5.58909e-05 -0.000110175 -0.000384541 AC1<0, 18.4<AC2<20
0.00102393 0 5.58909e-05 -0.000110175 -0.000384541 AC1<0, 18.6<AC2<20
0.000834313 0 5.58909e-05 -0.000110141 -0.000384541 AC1<0, 18.8<AC2<20
0.000720543 0 0.000111782 1.30528e-06 -0.000384541 AC1<0, 19<AC2<20
0.000606773 0 0.000111782 1.44244e-06 -0.000192271 AC1<0, 19.2<AC2<20
0.000493003 0 0.000111782 1.42486e-06 -0.000192271 AC1<0, 19.4<AC2<20
0.000265463 0 0.000111782 0.000458789 -0.000192271 AC1<0, 19.6<AC2<20
0.000151693 0 0 0 0 AC1<0, 19.8<AC2<20
0.0241003 0.513648 0.509054 0.670522 0.547202 AC1<0.25, 0<AC2<20
0.0241192 0.511993 0.503912 0.670522 0.547587 AC1<0.25, 0.2<AC2<20
0.0240623 0.509512 0.485804 0.671412 0.54278 AC1<0.25, 0.4<AC2<20
0.0241192 0.510339 0.453946 0.671969 0.540473 AC1<0.25, 0.6<AC2<20
0.0240434 0.502068 0.411245 0.672413 0.532782 AC1<0.25, 0.8<AC2<20
0.0241382 0.498759 0.372513 0.669848 0.507979 AC1<0.25, 1<AC2<20
0.0241572 0.500414 0.332886 0.66271 0.514324 AC1<0.25, 1.2<AC2<20
0.0241761 0.502895 0.296837 0.658919 0.510094 AC1<0.25, 1.4<AC2<20
0.0241761 0.496278 0.26347 0.655574 0.51394 AC1<0.25, 1.6<AC2<20
0.0241003 0.493797 0.237928 0.646877 0.511056 AC1<0.25, 1.8<AC2<20
0.0238917 0.488007 0.211044 0.638738 0.507018 AC1<0.25, 2<AC2<20
0.0239107 0.48139 0.187514 0.630489 0.503172 AC1<0.25, 2.2<AC2<20
0.0239107 0.478081 0.168679 0.617444 0.498943 AC1<0.25, 2.4<AC2<20
0.0239107 0.468156 0.15247 0.613542 0.493367 AC1<0.25, 2.6<AC2<20
0.0239107 0.456576 0.137492 0.604847 0.481061 AC1<0.25, 2.8<AC2<20
0.0239107 0.444996 0.123295 0.591692 0.452028 AC1<0.25, 3<AC2<20
0.0239296 0.44086 0.111502 0.592025 0.439339 AC1<0.25, 3.2<AC2<20
0.0239296 0.425145 0.101833 0.5568 0.440877 AC1<0.25, 3.4<AC2<20
0.0239486 0.418528 0.0905992 0.548553 0.434916 AC1<0.25, 3.6<AC2<20
0.0238917 0.413565 0.0837805 0.539858 0.428571 AC1<0.25, 3.8<AC2<20
0.0237969 0.404467 0.0754527 0.522357 0.413767 AC1<0.25, 4<AC2<20
0.023759 0.392887 0.0699754 0.513661 0.384349 AC1<0.25, 4.2<AC2<20
0.0237779 0.381307 0.0647217 0.495826 0.377235 AC1<0.25, 4.4<AC2<20
0.023759 0.377171 0.058909 0.487131 0.369737 AC1<0.25, 4.6<AC2<20
0.0237021 0.363937 0.0539906 0.473865 0.339935 AC1<0.25, 4.8<AC2<20
0.023721 0.344086 0.049184 0.460601 0.310133 AC1<0.25, 5<AC2<20
0.02374 0.330852 0.0449363 0.438418 0.303403 AC1<0.25, 5.2<AC2<20
0.0236642 0.318445 0.0408562 0.421028 0.288791 AC1<0.25, 5.4<AC2<20
0.0236642 0.313482 0.0382853 0.41211 0.289367 AC1<0.25, 5.6<AC2<20
0.0235125 0.301902 0.0361614 0.389816 0.274563 AC1<0.25, 5.8<AC2<20
0.0234176 0.288668 0.0333669 0.376662 0.259373 AC1<0.25, 6<AC2<20
0.0233228 0.27957 0.0310195 0.367745 0.252067 AC1<0.25, 6.2<AC2<20
0.0231711 0.27378 0.0283926 0.35448 0.252259 AC1<0.25, 6.4<AC2<20
0.0230195 0.263854 0.0266041 0.350021 0.244953 AC1<0.25, 6.6<AC2<20
0.0229057 0.25062 0.0247597 0.327727 0.237647 AC1<0.25, 6.8<AC2<20
0.022773 0.237386 0.0236419 0.31435 0.214959 AC1<0.25, 7<AC2<20
0.022735 0.225806 0.0223564 0.300973 0.199577 AC1<0.25, 7.2<AC2<20
0.0226592 0.219189 0.0212944 0.292056 0.199962 AC1<0.25, 7.4<AC2<20
0.0225454 0.209264 0.0201207 0.269762 0.200538 AC1<0.25, 7.6<AC2<20
0.0224316 0.197684 0.0192265 0.247468 0.192848 AC1<0.25, 7.8<AC2<20
0.0223558 0.19024 0.0178851 0.234091 0.19304 AC1<0.25, 8<AC2<20
0.022242 0.183623 0.017438 0.220715 0.185541 AC1<0.25, 8.2<AC2<20
0.0221662 0.17866 0.0165437 0.216367 0.185541 AC1<0.25, 8.4<AC2<20
0.0218249 0.173697 0.0154259 0.216367 0.170352 AC1<0.25, 8.6<AC2<20
0.021768 0.162117 0.0141963 0.20745 0.147472 AC1<0.25, 8.8<AC2<20
0.0216542 0.1555 0.013302 0.194073 0.139781 AC1<0.25, 9<AC2<20
0.0215215 0.148883 0.0128549 0.189725 0.139973 AC1<0.25, 9.2<AC2<20
0.0214456 0.142266 0.012296 0.189726 0.124591 AC1<0.25, 9.4<AC2<20
0.021256 0.129032 0.0118489 0.176349 0.116901 AC1<0.25, 9.6<AC2<20
0.0211802 0.122415 0.0113459 0.163084 0.10921 AC1<0.25, 9.8<AC2<20
0.0209147 0.120761 0.0105634 0.163196 0.10921 AC1<0.25, 10<AC2<20
0.0208578 0.117452 0.0104516 0.163419 0.101711 AC1<0.25, 10.2<AC2<20
0.0204786 0.109181 0.00989269 0.145583 0.101711 AC1<0.25, 10.4<AC2<20
0.0202511 0.105873 0.009222 0.141235 0.101711 AC1<0.25, 10.6<AC2<20
0.0198718 0.101737 0.00877487 0.132318 0.0945972 AC1<0.25, 10.8<AC2<20
0.0196064 0.0976013 0.00843953 0.127859 0.0792155 AC1<0.25, 11<AC2<20
0.0193788 0.0951199 0.00838364 0.1234 0.0794078 AC1<0.25, 11.2<AC2<20
0.0190754 0.0901572 0.00838364 0.1234 0.0640262 AC1<0.25, 11.4<AC2<20
0.01881 0.0860215 0.00748938 0.114594 0.0644107 AC1<0.25, 11.6<AC2<20
0.0185066 0.082713 0.0073776 0.110247 0.0569121 AC1<0.25, 11.8<AC2<20
0.0182032 0.0794045 0.00693047 0.101328 0.0569121 AC1<0.25, 12<AC2<20
0.017786 0.0777502 0.00681869 0.10144 0.0571044 AC1<0.25, 12.2<AC2<20
0.0172551 0.0727874 0.00637156 0.0969815 0.0494136 AC1<0.25, 12.4<AC2<20
0.0169138 0.0694789 0.00603622 0.0925225 0.0421073 AC1<0.25, 12.6<AC2<20
0.0164587 0.0661704 0.00581265 0.0881745 0.0346087 AC1<0.25, 12.8<AC2<20
0.015833 0.0612076 0.00542142 0.0792572 0.0349933 AC1<0.25, 13<AC2<20
0.0155296 0.0545906 0.00519785 0.0632923 0.0278793 AC1<0.25, 13.2<AC2<20
0.0152262 0.0545906 0.00519785 0.0703393 0.0282638 AC1<0.25, 13.4<AC2<20
0.0147711 0.0545906 0.00503018 0.0703394 0.0286483 AC1<0.25, 13.6<AC2<20
0.0140127 0.0496278 0.00458305 0.0634299 0.0132667 AC1<0.25, 13.8<AC2<20
0.0136903 0.0496278 0.00447127 0.059946 0.0132667 AC1<0.25, 14<AC2<20
0.0132542 0.044665 0.00424771 0.0362001 0.013459 AC1<0.25, 14.2<AC2<20
0.0129129 0.0438379 0.00402414 0.0570742 0.013459 AC1<0.25, 14.4<AC2<20
0.0126474 0.0388751 0.00402414 0.0526144 0.0136512 AC1<0.25, 14.6<AC2<20
0.012344 0.0330852 0.00380058 0.00955257 0.0136512 AC1<0.25, 14.8<AC2<20
0.0116614 0.0330852 0.00374469 0.039239 0.0136512 AC1<0.25, 15<AC2<20
0.011377 0.0297767 0.00329756 0.0347792 0.0138435 AC1<0.25, 15.2<AC2<20
0.0111115 0.0297767 0.003074 0.0317117 0.0138435 AC1<0.25, 15.4<AC2<20
0.0105427 0.0272953 0.00312989 0.030432 0.0138435 AC1<0.25, 15.6<AC2<20
0.0100497 0.0206782 0.00273865 0.0216268 0.0140358 AC1<0.25, 15.8<AC2<20
0.00963252 0.0206782 0.00262687 0.0216267 0.0144203 AC1<0.25, 16<AC2<20
0.00925329 0.0206782 0.00262687 0.0216266 0.0144203 AC1<0.25, 16.2<AC2<20
0.00860859 0.0206782 0.00229153 0.0217381 0.0144203 AC1<0.25, 16.4<AC2<20
0.00792597 0.0206782 0.00206796 0.0217382 0.0144203 AC1<0.25, 16.6<AC2<20
0.00743297 0.0173697 0.00178851 0.0172792 0.0144203 AC1<0.25, 16.8<AC2<20
0.00697789 0.0157155 0.00134138 0.0128203 0.0146126 AC1<0.25, 17<AC2<20
0.00648489 0.0157155 0.0012296 0.0128204 0.0146126 AC1<0.25, 17.2<AC2<20
0.00608669 0.0157155 0.00111782 0.0128204 0.0146126 AC1<0.25, 17.4<AC2<20
0.00572642 0.0140612 0.00111782 0.0128204 0.0146126 AC1<0.25, 17.6<AC2<20
0.005442 0.0082713 0.00111782 0.00836162 0.00692175 AC1<0.25, 17.8<AC2<20
0.00506276 0.0082713 0.00117371 0.00836173 0.00711402 AC1<0.25, 18<AC2<20
0.00468353 0.00661704 0.000838364 0.00847318 0.00711402 AC1<0.25, 18.2<AC2<20
0.00420949 0.00661704 0.000726582 0.00847329 0.00711402 AC1<0.25, 18.4<AC2<20
0.00367856 0.00661704 0.000726582 0.00847325 0.00711402 AC1<0.25, 18.6<AC2<20
0.00318556 0.00496278 0.0006148 0.00847338 -0.000576812 AC1<0.25, 18.8<AC2<20
0.00254086 0.00165426 0.000558909 0.00423735 -0.000576812 AC1<0.25, 19<AC2<20
0.00193409 0.00165426 0.000558909 0.00423762 -0.000384541 AC1<0.25, 19.2<AC2<20
0.00159278 0.00165426 0.000447127 0.00423722 -0.000384541 AC1<0.25, 19.4<AC2<20
0.00102393 0 0.000223564 -0.0002203 -0.000192271 AC1<0.25, 19.6<AC2<20
0.000720543 0 0.000111782 -0.000121218 -4009.73 AC1<0.25, 19.8<AC2<20
0.0253897 0.526882 0.52163 0.678662 0.583926 AC1<0.5, 0<AC2<20
0.0254086 0.525227 0.516264 0.678661 0.584311 AC1<0.5, 0.2<AC2<20
0.0253517 0.522746 0.497597 0.679552 0.579696 AC1<0.5, 0.4<AC2<20
0.0254086 0.523573 0.464733 0.680108 0.577389 AC1<0.5, 0.6<AC2<20
0.0253328 0.515302 0.421082 0.680552 0.569698 AC1<0.5, 0.8<AC2<20
0.0254276 0.511993 0.38112 0.678098 0.544895 AC1<0.5, 1<AC2<20
0.0254465 0.513648 0.340096 0.67096 0.551432 AC1<0.5, 1.2<AC2<20
0.0254655 0.514475 0.303152 0.667279 0.547202 AC1<0.5, 1.4<AC2<20
0.0254655 0.507858 0.268668 0.663934 0.551432 AC1<0.5, 1.6<AC2<20
0.0253897 0.505376 0.242287 0.65546 0.548548 AC1<0.5, 1.8<AC2<20
0.0251811 0.499586 0.214845 0.647323 0.544511 AC1<0.5, 2<AC2<20
0.0252 0.492969 0.190979 0.639073 0.540665 AC1<0.5, 2.2<AC2<20
0.0252 0.489661 0.171697 0.626027 0.536435 AC1<0.5, 2.4<AC2<20
0.0252 0.479735 0.155153 0.622126 0.530859 AC1<0.5, 2.6<AC2<20
0.0252 0.468983 0.139951 0.61343 0.518746 AC1<0.5, 2.8<AC2<20
0.0252 0.457403 0.125419 0.600275 0.489714 AC1<0.5, 3<AC2<20
0.025219 0.454094 0.113403 0.600608 0.477408 AC1<0.5, 3.2<AC2<20
0.025219 0.438379 0.103622 0.565383 0.478946 AC1<0.5, 3.4<AC2<20
0.025238 0.431762 0.0923877 0.557247 0.472986 AC1<0.5, 3.6<AC2<20
0.0251811 0.426799 0.085569 0.548552 0.466641 AC1<0.5, 3.8<AC2<20
0.0250863 0.416046 0.0772412 0.526593 0.451836 AC1<0.5, 4<AC2<20
0.0250484 0.404467 0.0716521 0.518009 0.422611 AC1<0.5, 4.2<AC2<20
