0.00613586 0.00620399 0.000681158 0.00634952 0.00693928 AC1<0, 12<AC2<20
0.00595823 0.00636943 0.000681158 0.00634953 0.00704234 AC1<0, 12.2<AC2<20
0.00584967 0.00653487 0.000628253 0.00634952 0.00704234 AC1<0, 12.4<AC2<20
0.00579046 0.00653487 0.0006018 0.00636331 0.00704234 AC1<0, 12.6<AC2<20
0.00565476 0.00620399 0.0006018 0.00527293 0.0071454 AC1<0, 12.8<AC2<20
0.00554621 0.00554223 0.000575347 0.00416861 0.0072141 AC1<0, 13<AC2<20
0.00539818 0.00554223 0.000581961 0.0041687 0.00728281 AC1<0, 13.2<AC2<20
0.00524028 0.00521135 0.000581961 0.00416726 0.00453458 AC1<0, 13.4<AC2<20
0.00512432 0.00496319 0.000588574 0.00309204 0.00453458 AC1<0, 13.6<AC2<20
0.00492941 0.00504591 0.000509215 0.00309207 0.00453458 AC1<0, 13.8<AC2<20
0.00479125 0.00504591 0.000509215 0.00309207 0.00453458 AC1<0, 14<AC2<20
0.00465309 0.00504591 0.000509215 0.00309207 0.00456893 AC1<0, 14.2<AC2<20
0.00449519 0.00504591 0.000482763 0.00309206 0.00456893 AC1<0, 14.4<AC2<20
0.00436937 0.00405327 0.000482763 0.00200165 0.0018207 AC1<0, 14.6<AC2<20
0.00422134 0.00372239 0.000482763 0.000897462 0.00188941 AC1<0, 14.8<AC2<20
0.00411278 0.00347423 0.000462923 0.000911275 0.00192376 AC1<0, 15<AC2<20
0.00398449 0.00347423 0.00043647 0.000911238 0.00195811 AC1<0, 15.2<AC2<20
0.00386606 0.00347423 0.000423244 0.000911226 0.00199247 AC1<0, 15.4<AC2<20
0.00368843 0.00314335 0.000423244 0.00110419 0.00199247 AC1<0, 15.6<AC2<20
0.00350092 0.00248159 0.000383565 0.00110419 0.00206117 AC1<0, 15.8<AC2<20
0.00335289 0.00248159 0.000390178 0.00110419 0.00206117 AC1<0, 16<AC2<20
0.00318512 0.00248159 0.000390178 0.00110419 0.00209553 AC1<0, 16.2<AC2<20
0.00300008 0.00148896 0.000390178 0.00110419 0.00216423 AC1<0, 16.4<AC2<20
0.00286192 0.00115808 0.000337273 0.00110419 0.00216423 AC1<0, 16.6<AC2<20
0.00270896 0.000827198 0.000284367 0.00110419 0.00219858 AC1<0, 16.8<AC2<20
0.00256093 0.000496319 0.000284367 0.00110419 0.00219858 AC1<0, 17<AC2<20
0.00231421 0.000496319 0.000231462 0.00110419 0.00219858 AC1<0, 17.2<AC2<20
0.00215138 0.000496319 0.000205009 0.00110419 0.00226729 AC1<0, 17.4<AC2<20
0.00205269 0.00016544 0.000152103 0.00110419 0.00274823 AC1<0, 17.6<AC2<20
0.00188492 0.000248159 0.000158717 0.00110419 0.00274823 AC1<0, 17.8<AC2<20
0.00174676 0.000248159 0.000138877 0.00110419 0.00274823 AC1<0, 18<AC2<20
0.00153952 0.000248159 0.000138877 0.00110419 0.00274823 AC1<0, 18.2<AC2<20
0.00140382 0.000248159 0.000112424 0.00110419 0.00274823 AC1<0, 18.4<AC2<20
0.00120645 0.000330879 9.91978e-05 0.00110419 0.00274823 AC1<0, 18.6<AC2<20
0.00103868 0.000330879 7.27451e-05 0.00110419 0.00274823 AC1<0, 18.8<AC2<20
0.000861044 0.000330879 5.29055e-05 0.00110419 0.00274823 AC1<0, 19<AC2<20
0.000705612 0.000330879 5.29055e-05 0.00110419 0.00274823 AC1<0, 19.2<AC2<20
0.000569917 0.000330879 5.29055e-05 0.00110419 0.00274823 AC1<0, 19.4<AC2<20
0.000335536 0.000330879 5.29055e-05 0.00110419 0.00274823 AC1<0, 19.6<AC2<20
0.00014803 0.000330879 2.64528e-05 0.00110419 0.00274823 AC1<0, 19.8<AC2<20
0.0261644 0.445033 0.488992 0.66304 0.588698 AC1<0.25, 0<AC2<20
0.0261545 0.444702 0.485031 0.66315 0.589282 AC1<0.25, 0.2<AC2<20
0.0261718 0.44131 0.466362 0.662665 0.586706 AC1<0.25, 0.4<AC2<20
