9.63516e-06 9.96016e-05 5.20888e-05 0.00104377 0.00325015|Ave(z)|<0
0.00682651 0.00796813 0.0143505 0.0412549 0.0421707|Ave(z)|<0.005
0.0130171 0.015239 0.029326 0.0782826 0.0743472|Ave(z)|<0.01
0.0193426 0.0231574 0.0465674 0.113275 0.1361|Ave(z)|<0.015
0.0259909 0.0328685 0.0611522 0.160479 0.17819|Ave(z)|<0.02
0.0329234 0.0410857 0.0767788 0.204578 0.233767|Ave(z)|<0.025
0.0393163 0.0493526 0.0927701 0.257263 0.279107|Ave(z)|<0.03
0.0461524 0.0571713 0.109256 0.296378 0.292812|Ave(z)|<0.035
0.0526417 0.0659363 0.1247 0.350328 0.292284|Ave(z)|<0.04
0.0593141 0.074253 0.140041 0.396708 0.327943|Ave(z)|<0.045
0.0658274 0.0810259 0.155459 0.433253 0.380251|Ave(z)|<0.05
0.0721529 0.0873008 0.170252 0.46453 0.422758|Ave(z)|<0.055
0.0785651 0.0951693 0.185045 0.503059 0.449793|Ave(z)|<0.06
0.085223 0.101394 0.199969 0.532175 0.495094|Ave(z)|<0.065
0.09164 0.109612 0.21484 0.562238 0.562322|Ave(z)|<0.07
0.0981052 0.116584 0.231587 0.593613 0.599972|Ave(z)|<0.075
0.104392 0.123108 0.245234 0.62203 0.639012|Ave(z)|<0.08
0.110313 0.130179 0.258595 0.660178 0.674087|Ave(z)|<0.085
0.116181 0.136056 0.274482 0.674339 0.625724|Ave(z)|<0.09
0.122453 0.142928 0.287243 0.71203 0.616687|Ave(z)|<0.095
0.128417 0.1501 0.298833 0.742618 0.658243|Ave(z)|<0.1
0.135138 0.156922 0.310163 0.771373 0.664551|Ave(z)|<0.105
0.146257 0.162699 0.323445 0.796742 0.658087|Ave(z)|<0.11
0.172513 0.171763 0.34988 0.827235 0.666106|Ave(z)|<0.115
0.256975 0.194124 0.414705 0.830959 0.678151|Ave(z)|<0.12
0.471025 0.251892 0.579956 0.852118 0.710322|Ave(z)|<0.125
0.68162 0.308018 0.73143 0.859189 0.727938|Ave(z)|<0.13
0.759723 0.328237 0.786098 0.862849 0.710071|Ave(z)|<0.135
0.782356 0.335159 0.801281 0.859082 0.708462|Ave(z)|<0.14
0.789833 0.336305 0.80511 0.858577 0.708982|Ave(z)|<0.145
0.79228 0.337151 0.805943 0.857517 0.721841|Ave(z)|<0.15
0.793557 0.33755 0.806126 0.858388 0.724221|Ave(z)|<0.155
0.794381 0.33755 0.806178 0.858457 0.723667|Ave(z)|<0.16
0.794916 0.337799 0.806464 0.859334 0.729496|Ave(z)|<0.165
0.795301 0.337998 0.806438 0.859497 0.729276|Ave(z)|<0.17
