-0.0559608 0 0 0 0 0
0.603936 1 0 0 0 0
-0.109201 0 1 0 0 0
0.485493 0 0 1 0 0
0.0342496 0 0 0 1 0
1.03292 0 0 0 0 1
1.27449 2 0 0 0 0
-0.432498 1 1 0 0 0
0.442368 0 2 0 0 0
-0.726743 1 0 1 0 0
-0.903406 0 1 1 0 0
0.507792 0 0 2 0 0
-0.13818 1 0 0 1 0
0.141743 0 1 0 1 0
-0.207076 0 0 1 1 0
-0.0546217 0 0 0 2 0
-0.192915 1 0 0 0 1
-1.04376 0 1 0 0 1
-0.910875 0 0 1 0 1
0.302155 0 0 0 1 1
-2.25829 0 0 0 0 2
-0.21471 3 0 0 0 0
1.10461 2 1 0 0 0
-0.313871 1 2 0 0 0
-0.738329 0 3 0 0 0
-0.40054 2 0 1 0 0
-5.27179 1 1 1 0 0
6.0707 0 2 1 0 0
-0.0179652 1 0 2 0 0
-2.46339 0 1 2 0 0
0.759753 0 0 3 0 0
0.350592 2 0 0 1 0
-0.696563 1 1 0 1 0
-0.283165 0 2 0 1 0
1.79293 1 0 1 1 0
0.250058 0 1 1 1 0
-0.776183 0 0 2 1 0
0.128644 1 0 0 2 0
-0.172839 0 1 0 2 0
0.0439672 0 0 1 2 0
-0.0127889 0 0 0 3 0
-3.05981 2 0 0 0 1
4.77651 1 1 0 0 1
-0.822843 0 2 0 0 1
-1.10697 1 0 1 0 1
-1.71196 0 1 1 0 1
1.80177 0 0 2 0 1
-0.52045 1 0 0 1 1
0.814819 0 1 0 1 1
0.397324 0 0 1 1 1
-0.130882 0 0 0 2 1
0.998617 1 0 0 0 2
-0.784944 0 1 0 0 2
0.964142 0 0 1 0 2
0.233089 0 0 0 1 2
1.35592 0 0 0 0 3
-0.552216 4 0 0 0 0
0.340776 3 1 0 0 0
0.709977 2 2 0 0 0
0.527812 1 3 0 0 0
-0.169013 0 4 0 0 0
-0.0866957 3 0 1 0 0
-0.291412 2 1 1 0 0
-0.573738 1 2 1 0 0
-0.984777 0 3 1 0 0
-0.185532 2 0 2 0 0
0.915103 1 1 2 0 0
1.98166 0 2 2 0 0
-1.02822 1 0 3 0 0
-0.40218 0 1 3 0 0
0.715277 0 0 4 0 0
0.0736744 3 0 0 1 0
0.0565699 2 1 0 1 0
-0.0670734 1 2 0 1 0
-0.269528 0 3 0 1 0
-0.157527 2 0 1 1 0
-0.0479394 1 1 1 1 0
0.0849111 0 2 1 1 0
0.105196 1 0 2 1 0
0.122595 0 1 2 1 0
-0.12734 0 0 3 1 0
0.00671839 2 0 0 2 0
-0.016407 1 1 0 2 0
-0.0247707 0 2 0 2 0
0.0536216 1 0 1 2 0
0.0451262 0 1 1 2 0
0.00678706 0 0 2 2 0
0.00557648 1 0 0 3 0
0.000862151 0 1 0 3 0
-0.00858127 0 0 1 3 0
-0.000510138 0 0 0 4 0
-0.663209 3 0 0 0 1
-0.479846 2 1 0 0 1
-0.542549 1 2 0 0 1
-0.726401 0 3 0 0 1
0.52836 2 0 1 0 1
0.580332 1 1 1 0 1
0.8904 0 2 1 0 1
1.36331 1 0 2 0 1
-0.798463 0 1 2 0 1
-1.14523 0 0 3 0 1
0.355173 2 0 0 1 1
0.208022 1 1 0 1 1
0.139696 0 2 0 1 1
-0.0908144 1 0 1 1 1
-0.131514 0 1 1 1 1
0.105919 0 0 2 1 1
-0.0126467 1 0 0 2 1
-0.0437863 0 1 0 2 1
-0.135544 0 0 1 2 1
-0.023249 0 0 0 3 1
-0.454305 2 0 0 0 2
0.647126 1 1 0 0 2
1.77883 0 2 0 0 2
-1.03011 1 0 1 0 2
0.688826 0 1 1 0 2
1.49954 0 0 2 0 2
0.32929 1 0 0 1 2
0.172182 0 1 0 1 2
-0.303959 0 0 1 1 2
0.0284755 0 0 0 2 2
-0.420071 1 0 0 0 3
-1.73491 0 1 0 0 3
